병상포화지수,지역,연도,이혼율,자살율,병상수,스트레스인지율,교통사고발생건수,화재발생건수,일인가구비율,인구밀도,출산율,사망률,흡연율,비만율,미충족의료율,중증응급환자비율,응급의학전문의수,응급의학전공의수,응급실도착소요시간,코로나확진자수
38.8,울산,2021,4.9,28.5,123,24.8,3801,802,29.5,1059,0.94,488.7,18.7,31,3.8,16.09860786,2,0.8,1.005508,6200
31.4,세종,2021,4.25,19,36,25.5,788,185,31.5,777,1.277,373.1,15.1,27.5,4.8,13.30715532,2.69,,0.390855,1993
44.4,경기,2021,4.7,23.6,1438,28.1,53332,8169,29.2,1335,0.853,503,18.1,31.6,4.9,16.10324642,2.4,1,16.75945,171882
31.5,강원,2021,4.45,32.7,341,28.3,6605,1780,36.3,90,0.979,833,21,34.3,6.3,18.53893594,8.5,1.8,2.29785,11198
27.6,충북,2021,4.6,31.8,274,27.2,7985,1382,36.3,220,0.949,750.4,21,31,5.4,16.15218107,1.4,0.9,1.819723,10335
31.4,충남,2021,4.9,32.2,288,27,8423,2015,35.8,264,0.963,774.1,20,32.5,6.5,14.37552612,3.9,0.8,3.428381,16441
41.9,전북,2021,4.55,28.5,386,26.2,6112,1984,35.7,222,0.85,842.5,18.3,32.1,6.8,19.22841699,4.7,0.7,2.73789,8731
30.5,전남,2021,4.3,30.2,440,23.7,8685,2473,35.3,144,1.017,958.4,17.9,32.3,5,17.50701093,1.7,0.2,1.948953,5518
28.4,경북,2021,4.2,29,435,24.7,12100,2849,36,139,0.966,875.2,20.4,32,6.9,17.13288895,2.1,0.5,3.591916,12890
40.2,경남,2021,4.75,26.3,540,24.9,11059,2864,32.7,314,0.903,706.4,18.5,31.7,7.2,17.50521743,2.1,0.5,3.199303,19351
31.2,제주,2021,5,26.1,129,25.3,4373,544,32.7,363,0.951,630.3,20,36,3.4,12.98973521,3,1.2,1.554129,4222
