학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000002763,3984019219,대구,대구광역시교육청,대구지묘초등학교,1968-03-18,대구광역시 동구 지묘동 546,대구광역시 동구 파계로6길 54-3,35.942876,128.6389777,대구광역시 동구,1007.0,919.0,856.0,768.0,647.0,552.0,550.0,513.0,456.0,423.0,402.0,373.0,314.0,298.0,269.0,25018,23259,22200,20868,19347,18784,18438,17906,17687,17703,17983,17729,17909,18334,18112,17482,16478,15576,14181,12729,11517,10548,0.9262164868593511,375.1590105785658,281.1564182045927,196.70388999610282,66.09271832111017,-69.8552539169466,-183.33248694210124,-274.0580965141929
B000002912,4030704140,대구,대구광역시교육청,대구선원초등학교,1998-03-01,대구광역시 달서구 용산동 504,대구광역시 달서구 선원로33길 105,35.861015,128.5155245,대구광역시 달서구,867.0,791.0,695.0,625.0,524.0,480.0,430.0,385.0,394.0,366.0,336.0,336.0,309.0,318.0,283.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9703742101216376,287.3630020098891,205.52574884450382,132.2033543899679,42.59460319483924,-52.62314223045212,-136.82563392662883,-194.3685084685987
B000002745,4286661446,대구,대구광역시교육청,대구해서초등학교,1949-04-01,대구광역시 동구 봉무동 1571,대구광역시 동구 팔공로 220-4,35.91807034,128.6430541,대구광역시 동구,950.0,856.0,749.0,650.0,550.0,496.0,449.0,435.0,405.0,399.0,465.0,470.0,463.0,462.0,455.0,25018,23259,22200,20868,19347,18784,18438,17906,17687,17703,17983,17729,17909,18334,18112,17482,16478,15576,14181,12729,11517,10548,0.993112110508278,408.4211155758992,334.8784433747437,268.80723787131546,166.62394332887357,60.265417396525436,-28.51318689411221,-99.49212052251812
B000002829,4364630579,대구,대구광역시교육청,대구구암초등학교,1995-09-01,대구광역시 북구 구암동 694-1,대구광역시 북구 학정로 245,35.928101,128.5577604,대구광역시 북구,1231.0,1113.0,1013.0,933.0,817.0,762.0,699.0,635.0,564.0,501.0,451.0,400.0,382.0,350.0,329.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9535535315236896,118.53626234429703,-25.537767788270457,-147.54317313091792,-293.05256097339907,-462.51448060006146,-607.2164797307162,-730.3881132126685
B000002855,4586123645,대구,대구광역시교육청,대구함지초등학교,2005-09-01,대구광역시 북구 동천동 949,대구광역시 북구 동천로 33,35.934735,128.5578627,대구광역시 북구,1333.0,1255.0,1203.0,1141.0,1074.0,993.0,962.0,877.0,804.0,715.0,623.0,536.0,462.0,413.0,379.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9932075499160977,213.34456622798098,49.24418505446556,-89.72002316221005,-255.45527737356883,-448.47247540393664,-613.2881135315085,-753.5806560914318
B000002866,4802166998,대구,대구광역시교육청,대구대덕초등학교,1978-12-11,대구광역시 남구 대명동 1571-1,대구광역시 남구 대명서로 28,35.830489,128.5616737,대구광역시 남구,735.0,661.0,573.0,514.0,429.0,382.0,351.0,331.0,289.0,272.0,238.0,237.0,228.0,231.0,223.0,12525,11403,10553,9706,8898,8533,8278,7852,7585,7443,7308,6989,6684,6547,6302,5887,5315,4792,4267,3703,3227,2973,0.993496433008076,150.21393233545916,98.82800349386861,51.84401610898766,4.680357644241099,-45.98688687788672,-88.74860388592361,-111.56683102886768
B000002811,4961429059,대구,대구광역시교육청,대구대성초등학교,1933-12-01,대구광역시 서구 비산동 169-1,대구광역시 서구 국채보상로 426,35.87040591,128.5771526,대구광역시 서구,667.0,575.0,524.0,444.0,400.0,341.0,314.0,289.0,267.0,240.0,235.0,205.0,182.0,175.0,157.0,20367,18057,16254,14459,12760,11522,10590,9578,8856,8674,8615,8377,8219,8181,7996,7412,6514,5665,4809,3954,3189,2690,0.9901530863199405,176.58818764597595,141.93955964094204,109.1815583310603,76.1534674932997,43.163960873807525,13.647033898472415,-5.606491017465132
B000002887,5061497986,대구,대구광역시교육청,대구송현초등학교,1981-12-01,대구광역시 달서구 송현동 1908,대구광역시 달서구 송현로 128,35.82868737,128.544857,대구광역시 달서구,856.0,745.0,653.0,577.0,510.0,491.0,448.0,426.0,392.0,377.0,386.0,364.0,355.0,322.0,310.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9587926323548943,318.62257810986216,248.2395298340033,185.17957328626846,108.11275081410577,26.221986965480596,-46.1952534570795,-95.68424239753688
B000002907,5253629446,대구,대구광역시교육청,대구신당초등학교,1994-09-01,대구광역시 달서구 신당동 1844-2,대구광역시 달서구 서당로 14,35.85329484,128.496267,대구광역시 달서구,760.0,631.0,505.0,422.0,327.0,272.0,238.0,210.0,183.0,165.0,174.0,158.0,144.0,150.0,141.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9757960936810841,99.75945164556038,13.436115424746276,-63.90560199852655,-158.42644743931885,-258.8637560562694,-347.68198638751176,-408.3791959597852
B000002910,5433671116,대구,대구광역시교육청,대구죽전초등학교,1983-01-26,대구광역시 달서구 죽전동 174-1,대구광역시 달서구 죽전길 127,35.85778703,128.5399269,대구광역시 달서구,1053.0,852.0,736.0,655.0,561.0,514.0,467.0,453.0,420.0,428.0,428.0,396.0,354.0,328.0,313.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9523621986243835,321.5341019937191,230.83095221151132,149.56512437196102,50.24854583256581,-55.284681288103684,-148.60930938771628,-212.3861318811514
