,Ticker,Name,종목명 (Full),기업명 (한글),거래소 업종,거래소 업종코드,결산월,회계년,자기자본비율(%),차입금의존도(%),매출액증가율(%),영업이익률(%),총자본회전율(%),부채 상환능력(%),당좌비율(%),ROA(당기순이익)(%),"신용등급 (채권, NICE)","신용등급 (CP, NICE)",ESG등급,환경,사회,지배구조,시가총액(천원),WACC(시가총액평균)(%)
2060,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2020,81.7,1.4,-12.928898995391203,8.35,85.0,68.80478011431235,315.3124310742018,7.27,,,B,D,B+,B,548853000.0,5.54
2061,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2021,82.7,0.78,1.7851849285063004,6.89,81.0,42.40368650094828,289.15505420598356,3.59,,,C,C,B+,C,407799000.0,5.12
2062,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2022,83.7,0.78,16.05901020924194,8.41,90.0,38.86986571689737,239.86641038758134,4.3,,,C,C,B,C,258645000.0,10.28
2063,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2023,79.27,4.35,6.079589315958311,5.09,91.0,28.78383878747794,166.2296285838011,5.79,,,C,B,B,C,286856000.0,6.33
3412,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2020,38.4,24.45,-45.8917368781972,-8.03,73.0,-10.544052453703049,14.39191667547439,-11.1,B-,,C,D,C,B,104035000.0,8.58
3413,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2021,40.46,26.36,-16.08072935945456,-5.51,47.0,-5.414659993990494,9.10830701681676,-7.87,B-,,D,D,D,D,83159000.0,9.4
3414,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2022,39.37,39.28,-15.039559202164055,-31.7,39.0,-10.612642654527015,9.662817048869252,-5.47,B-,,D,D,D,D,53838000.0,9.17
3415,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2023,27.79,58.45,3.031829934064789,-41.98,49.0,-13.021359974411814,7.854504209859113,-17.2,,,D,D,D,D,34418000.0,13.28
2052,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2020,62.64,12.14,5.331491812279521,11.22,30.0,10.277250118607276,28.153379517070576,2.07,,,C,C,C,B+,339949000.0,3.96
2053,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2021,63.15,14.82,20.196478091757353,10.55,36.0,-1.3648694148582134,34.5115318148101,1.92,,,D,C,D,D,376960000.0,3.44
2054,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2022,66.58,12.41,-0.7132191705980562,13.68,35.0,14.892638558717023,49.549563348436465,-0.22,,,C,C,D,C,296085000.0,6.94
2055,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2023,66.89,11.56,0.4559832910815409,13.21,36.0,11.816469446940268,35.32355802050506,-0.35,,,C,C,D,C,242351000.0,2.36
1168,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2020,85.55,9.97,96.38860221457996,66.8,8.0,15.726525052462357,1018.4013714849705,4.47,,,B+,A,A,B,653119000.0,6.06
1169,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2021,83.13,10.87,208.51878444556155,68.86,22.0,6.011320870396189,264.0317880549273,12.69,,,B+,B+,A,B,861991000.0,6.03
1170,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2022,86.31,8.03,-40.09050286564063,32.72,12.0,57.527929351942554,399.73805935285463,3.8,,,B+,A,A,B+,605240000.0,7.72
1171,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2023,82.49,13.18,2.3376067716998516,28.64,11.0,15.603058754891888,203.9662483810157,8.99,AA-,,A,A,A+,B+,607050000.0,4.33
668,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2020,35.11,34.59,11.97398092748525,8.82,189.0,17.294944387457882,43.72083177347833,1.67,A,A2,B+,B+,A,B,2256754000.0,4.74
669,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2021,32.37,29.95,-3.522629825711887,7.61,180.0,26.543597898621364,58.417906533847955,2.22,A,A2,B,B,B+,B,2136114000.0,4.6
670,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2022,37.4,31.33,12.395043408705275,7.45,196.0,-5.124791197798015,49.700860206801394,2.04,A+,A2+,B,A,A,C,1810674000.0,6.77
671,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2023,35.06,33.22,1.1064462076586512,4.53,200.0,7.598901090857035,41.4147510124292,0.69,A+,A2+,B+,A,A,B,1595749000.0,4.64
160,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2020,81.8,0.12,7.153924354758301,7.4,94.0,12.242426070786076,301.05947256654883,9.49,,,B+,B+,A,B+,5333323000.0,4.91
161,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2021,84.08,0.07,3.583830725271353,3.77,90.0,30.247808014239432,280.9182864885007,5.25,,,B+,B,A,B+,4613903000.0,7.49
162,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2022,85.33,0.04,6.294506730456573,2.38,91.0,32.2004160556923,269.55430803153837,5.82,,,A,B+,A+,A,4444926000.0,6.82
163,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2023,82.55,0.02,4.7914225179002345,3.16,92.0,30.462298561198036,247.25274210038725,4.0,,,A,B+,A+,A,5589423000.0,6.6
520,A000120,CJ대한통운,씨제이대한통운보통주,씨제이대한통운(주),코스피 운송·창고,I.019,12,2020,45.23,31.91,5.152088611484484,3.15,224.00000000000003,9.434293066543866,70.50683429823927,1.38,AA-,A1,A,A,A+,A,3775443000.0,3.45
521,A000120,CJ대한통운,씨제이대한통운보통주,씨제이대한통운(주),코스피 운송·창고,I.019,12,2021,48.2,29.55,11.426082931875904,3.33,231.0,6.615734204780939,76.22712282804925,1.31,AA-,A1,B+,B+,A+,B,2874355000.0,5.0
522,A000120,CJ대한통운,씨제이대한통운보통주,씨제이대한통운(주),코스피 운송·창고,I.019,12,2022,43.79,36.3,6.288386346787367,3.2,240.0,11.036046839777153,77.67352753176672,2.69,AA-,A1,A,A,A+,B+,2137517000.0,5.62
523,A000120,CJ대한통운,씨제이대한통운보통주,씨제이대한통운(주),코스피 운송·창고,I.019,12,2023,45.77,33.37,-1.414744381148103,4.08,236.0,16.6283559586086,78.40691178738462,2.72,AA-,A1,A,A,A+,B+,2901730000.0,4.49
1916,A000140,하이트진로홀딩스,하이트진로홀딩스보통주,하이트진로홀딩스(주),코스피 금융,I.021,12,2020,61.84,37.77,5.979141767249541,87.46,4.0,2.1321115800015047,0.13061982025851024,0.81,A-,,B+,B+,A,B,356089000.0,3.76
1917,A000140,하이트진로홀딩스,하이트진로홀딩스보통주,하이트진로홀딩스(주),코스피 금융,I.021,12,2021,62.44,37.31,12.293682049099907,90.65,4.0,2.9752394025793176,0.13991024179462647,1.09,A-,,B,B,B+,B,290326000.0,4.19
1918,A000140,하이트진로홀딩스,하이트진로홀딩스보통주,하이트진로홀딩스(주),코스피 금융,I.021,12,2022,62.61,37.19,-12.951358126640034,87.67,3.0,1.425079098056928,0.21240388542677147,0.5,A,A2,B+,A,A,B,231785000.0,5.39
1919,A000140,하이트진로홀딩스,하이트진로홀딩스보통주,하이트진로홀딩스(주),코스피 금융,I.021,12,2023,61.87,37.96,14.860712125352805,88.75,4.0,0.7867709632525844,0.23371361765076024,0.45,A,A2,B+,A,A,B,208319000.0,5.1
260,A000150,두산,두산보통주,(주)두산,코스피 금융,I.021,12,2020,49.01,33.64,-43.64837749059597,10.14,37.0,-9.118997320224913,66.60088144928955,3.55,BBB,A3,A,A,A+,B+,1095570000.0,4.1
261,A000150,두산,두산보통주,(주)두산,코스피 금융,I.021,12,2021,57.39,29.55,8.110614769655067,6.89,34.0,-12.07977520010437,60.43194244566328,7.66,BBB,A3,B+,B+,A,B,2361866000.0,5.25
262,A000150,두산,두산보통주,(주)두산,코스피 금융,I.021,12,2022,63.51,27.12,11.3420554135913,6.72,35.0,-5.552155683047128,86.74039236621371,3.4,BBB,A3,B+,A,A+,B,1635588000.0,9.71
263,A000150,두산,두산보통주,(주)두산,코스피 금융,I.021,12,2023,61.66,27.87,-8.368208322905756,2.49,32.0,-1.8814547215227462,42.75543620344819,-2.25,BBB,A3,A,A,A+,B+,1820590000.0,8.64
2700,A000180,성창기업지주,성창기업지주보통주,성창기업지주(주),코스피 일반서비스,I.026,12,2020,85.02,0.07,12.301425855554893,6.35,2.0,1.4215491267164344,1298.7100729151598,0.29,,,C,D,C,C,155895000.0,5.77
2701,A000180,성창기업지주,성창기업지주보통주,성창기업지주(주),코스피 일반서비스,I.026,12,2021,84.66,0.08,15.929642326273719,5.89,2.0,1.8261563706134656,527.9672871082438,0.17,,,D,D,D,D,170543000.0,5.61
2702,A000180,성창기업지주,성창기업지주보통주,성창기업지주(주),코스피 일반서비스,I.026,12,2022,84.64,0.07,28.473816754731686,5.53,3.0,5.750046192928624,423.5806186845892,0.06,,,D,D,D,C,129738000.0,10.64
2703,A000180,성창기업지주,성창기업지주보통주,성창기업지주(주),코스피 일반서비스,I.026,12,2023,85.18,0.02,-10.571344811834827,5.29,3.0,4.135234657627164,818.7922777333566,0.73,,,D,C,D,D,135318000.0,7.33
1044,A000210,DL,DL보통주,디엘(주),코스피 화학,I.008,12,2020,20.12,10.45,-6.8544716749275425,23.38,28.000000000000004,11.746143117376304,102.5365557090216,4.95,AA-,A1,A,A+,A+,B+,3090560000.0,6.41
1045,A000210,DL,DL보통주,디엘(주),코스피 화학,I.008,12,2021,80.07,16.88,-95.62820851753456,-31.05,2.0,1.8141941110316477,60.69564600654574,5.78,AA-,,A,A,A+,A,1338599000.0,7.44
1046,A000210,DL,DL보통주,디엘(주),코스피 화학,I.008,12,2022,83.4,14.39,384.3100526368396,87.55,7.000000000000001,21.823395767577903,100.72166460648828,4.0,,,A,A,A,A,1297747000.0,8.0
1047,A000210,DL,DL보통주,디엘(주),코스피 화학,I.008,12,2023,85.22,13.01,-50.332446750561985,81.95,4.0,20.814173524496713,86.38357673717003,2.25,,,A,A,A,A,1118863000.0,6.86
2848,A000220,유유제약,유유제약보통주,(주)유유제약,코스피 제약,I.009,12,2020,80.22,9.79,2.8612343449131883,4.98,84.0,-24.124041130888322,267.25035562900763,0.02,,,B,D,B,B+,137853000.0,6.77
2849,A000220,유유제약,유유제약보통주,(주)유유제약,코스피 제약,I.009,12,2021,69.27,19.27,12.387337242734088,-1.76,81.0,3.5072764675244117,285.4231576458059,-1.94,,,C,D,B,D,162389000.0,8.73
2850,A000220,유유제약,유유제약보통주,(주)유유제약,코스피 제약,I.009,12,2022,63.78,21.1,16.207014006431784,-4.7,94.0,-19.471078172144942,87.03595793635341,-4.87,,,D,D,C,D,129495000.0,10.24
2851,A000220,유유제약,유유제약보통주,(주)유유제약,코스피 제약,I.009,12,2023,60.28,21.35,-3.6269840442826884,-2.99,97.0,-4.584669425824863,112.49715599609435,-4.3,,,C,D,C,C,107553000.0,6.46
2844,A000230,일동홀딩스,일동홀딩스보통주,일동홀딩스(주),코스피 제약,I.009,12,2020,69.25,20.2,-12.267433713593068,16.97,10.0,-0.14114940474557297,10.341965068182112,7.52,,,A,B+,A,A,159835000.0,4.55
2845,A000230,일동홀딩스,일동홀딩스보통주,일동홀딩스(주),코스피 제약,I.009,12,2021,65.64,18.57,7.461183762060375,7.24,10.0,1.0997261064431219,33.423838214722466,0.56,,,B+,C,A+,B+,170798000.0,6.1
2846,A000230,일동홀딩스,일동홀딩스보통주,일동홀딩스(주),코스피 제약,I.009,12,2022,62.46,21.28,13.943914832180425,18.43,11.0,-2.3774259108029385,27.400451686734883,3.07,,,A,B+,A+,B+,232539000.0,11.18
2847,A000230,일동홀딩스,일동홀딩스보통주,일동홀딩스(주),코스피 제약,I.009,12,2023,61.97,22.49,-11.97776531105319,6.06,10.0,-1.5681651555154625,14.186182697313491,-1.34,,,B+,A,A,B+,121405000.0,14.88
588,A000240,한국앤컴퍼니,한국앤컴퍼니보통주,한국앤컴퍼니(주),코스피 금융,I.021,12,2020,97.45,0.31,-22.391122263191075,60.45,3.0,57.26201596128199,1059.1407958031007,0.37,,,A,B+,A+,B+,1362746000.0,7.8
589,A000240,한국앤컴퍼니,한국앤컴퍼니보통주,한국앤컴퍼니(주),코스피 금융,I.021,12,2021,90.86,4.05,843.0052271324952,15.05,24.0,18.404547375931887,268.7317118714488,2.71,,,B,C,B,B+,1490483000.0,8.26
590,A000240,한국앤컴퍼니,한국앤컴퍼니보통주,한국앤컴퍼니(주),코스피 금융,I.021,12,2022,90.77,3.38,37.09336032366976,13.38,31.0,24.41436176550958,217.36728331477417,1.99,,,B+,B+,A,B+,1324347000.0,8.72
591,A000240,한국앤컴퍼니,한국앤컴퍼니보통주,한국앤컴퍼니(주),코스피 금융,I.021,12,2023,84.27,9.61,-0.0776911659582713,13.3,31.0,17.950990008036456,132.46567528010226,0.06,,,B+,B+,A,B,1480990000.0,4.55
20,A000270,기아,기아보통주,기아(주),코스피 운송장비·부품,I.015,12,2020,56.7,18.6,1.4901921658717177,3.4,147.0,2.0828091278640777,116.22855596023068,1.91,AA,,A+,A+,A+,A,25294673000.0,6.31
21,A000270,기아,기아보통주,기아(주),코스피 운송장비·부품,I.015,12,2021,56.6,17.98,19.257261011455952,6.88,167.0,22.222130445676086,124.32633401634637,5.14,AA,,B+,A,A,B,33320867000.0,8.84
22,A000270,기아,기아보통주,기아(주),코스피 운송장비·부품,I.015,12,2022,56.66,14.73,13.250873545037201,6.47,178.0,31.10484298188096,103.08249113796172,4.25,AA,,B,A,A+,C,24038046000.0,7.11
23,A000270,기아,기아보통주,기아(주),코스피 운송장비·부품,I.015,12,2023,62.87,7.45,26.094181863321264,10.78,198.0,53.81396332326916,125.43985034875156,16.26,AA+,,A,A+,A+,B+,40204420000.0,7.08
2116,A000320,노루홀딩스,노루홀딩스보통주,(주)노루홀딩스,코스피 금융,I.021,12,2020,83.04,14.32,-35.9874066560665,30.82,6.0,9.121099297547493,324.2638314398702,0.86,,,A,A,A+,B+,148845000.0,4.61
2117,A000320,노루홀딩스,노루홀딩스보통주,(주)노루홀딩스,코스피 금융,I.021,12,2021,82.91,14.23,14.031620344627239,37.56,7.000000000000001,14.59922637470722,153.16733648502827,1.53,,,A,B+,A+,B+,176437000.0,5.62
2118,A000320,노루홀딩스,노루홀딩스보통주,(주)노루홀딩스,코스피 금융,I.021,12,2022,84.49,12.86,-7.893238514266732,24.17,6.0,5.416316667802772,115.04995404813832,8.61,,,A,A,A+,B+,137920000.0,8.33
2119,A000320,노루홀딩스,노루홀딩스보통주,(주)노루홀딩스,코스피 금융,I.021,12,2023,84.14,13.46,3.2041512238877523,15.07,6.0,8.56584675765211,99.79647411261763,0.66,,,A,A,A+,B+,161572000.0,4.79
2148,A000390,삼화페인트,삼화페인트공업보통주,삼화페인트공업(주),코스피 화학,I.008,12,2020,49.41,24.63,1.3731527573818347,1.68,185.0,12.118368316631404,103.23545912189884,0.75,BBB+,,B+,B+,B+,A,372786000.0,4.2
2149,A000390,삼화페인트,삼화페인트공업보통주,삼화페인트공업(주),코스피 화학,I.008,12,2021,48.98,27.86,13.288813191468108,-0.51,208.0,-11.089757094742057,87.19096353443354,-1.25,BBB+,,B,C,B+,B+,251088000.0,5.49
2150,A000390,삼화페인트,삼화페인트공업보통주,삼화페인트공업(주),코스피 화학,I.008,12,2022,51.22,26.87,1.4357370700434524,2.18,211.0,10.401910280091728,75.38224008210307,0.98,BBB+,,B+,B+,A,B+,159956000.0,7.97
2151,A000390,삼화페인트,삼화페인트공업보통주,삼화페인트공업(주),코스피 화학,I.008,12,2023,52.88,24.16,1.1995013454090708,4.58,206.99999999999997,15.947877647082715,93.33326220725324,3.96,BBB+,,B+,B+,B+,B+,180631000.0,5.61
1744,A000430,대원강업,대원강업보통주,대원강업(주),코스피 운송장비·부품,I.015,12,2020,62.65,12.39,-11.788484496679175,1.28,147.0,8.102474117246187,57.39078068456909,1.24,,,B,B,C,B+,237150000.0,4.96
1745,A000430,대원강업,대원강업보통주,대원강업(주),코스피 운송장비·부품,I.015,12,2021,64.83,11.71,2.7712664870169768,1.38,149.0,5.904218321514541,73.1032597944958,1.22,,,C,C,D,C,231260000.0,6.64
1746,A000430,대원강업,대원강업보통주,대원강업(주),코스피 운송장비·부품,I.015,12,2022,62.03,9.06,12.43044172447596,2.42,165.0,15.454591155874873,83.43063208598548,1.59,,,C,B,B+,C,210180000.0,9.23
1747,A000430,대원강업,대원강업보통주,대원강업(주),코스피 운송장비·부품,I.015,12,2023,64.2,5.36,8.987337717765831,3.48,173.0,16.254056193757954,84.44751930429017,4.11,,A2,B+,B+,A,B+,337280000.0,9.55
1648,A000480,CR홀딩스,시알홀딩스보통주,(주)시알홀딩스,코스피 비금속,I.010,12,2020,60.18,28.91,-5.685956612631005,2.94,86.0,19.242098445315648,72.41998658082251,4.04,,,B,B,B,B,322400000.0,2.34
1649,A000480,CR홀딩스,시알홀딩스보통주,(주)시알홀딩스,코스피 비금속,I.010,12,2021,60.97,27.8,-0.42780280425335215,3.89,80.0,7.783188297541191,43.40852495936352,3.83,,,D,C,C,D,324000000.0,2.69
1650,A000480,CR홀딩스,시알홀딩스보통주,(주)시알홀딩스,코스피 비금속,I.010,12,2022,53.42,38.39,-99.07357773269403,-228.87,1.0,-2.7883382157901666,34.45860600587489,0.81,,,D,C,D,D,303200000.0,4.43
1651,A000480,CR홀딩스,시알홀딩스보통주,(주)시알홀딩스,코스피 비금속,I.010,12,2023,66.85,30.27,30.803555848137076,-170.94,1.0,4.851802674445453,7.034436721084194,-0.76,,,C,C,B,C,302913000.0,7.32
1520,A000490,대동,대동보통주,(주)대동,코스피 기계·장비,I.012,12,2020,37.38,31.14,2.4981079313880716,2.84,308.0,5.981105369312717,53.11538564197447,2.21,,A3,B+,B,B,B+,161826000.0,5.04
1521,A000490,대동,대동보통주,(주)대동,코스피 기계·장비,I.012,12,2021,32.17,31.32,39.001726093823194,1.8,350.0,2.642639987476447,62.352712065135165,2.19,,A3,D,C,C,D,239655000.0,4.62
1522,A000490,대동,대동보통주,(주)대동,코스피 기계·장비,I.012,12,2022,27.13,38.17,15.156582712447308,6.17,376.0,-7.322713175843034,68.28165444161212,1.21,,A3,C,B,A,D,309924000.0,5.57
1523,A000490,대동,대동보통주,(주)대동,코스피 기계·장비,I.012,12,2023,30.47,42.37,1.2201594326091136,3.5,350.0,-8.558301240078357,64.73559072122598,0.88,BBB+,A3+,B+,B+,A+,B,432182000.0,5.79
1048,A000500,가온전선,가온전선보통주,가온전선(주),코스피 전기·전자,I.013,12,2020,52.34,21.25,1.8797334887489692,1.61,299.0,0.24682604842925057,126.3628609075405,1.58,A,A2,B+,B,B+,B+,90696000.0,4.01
1049,A000500,가온전선,가온전선보통주,가온전선(주),코스피 전기·전자,I.013,12,2021,44.24,24.35,17.454843578648106,1.51,343.0,-1.1298778167614039,126.07466665756037,1.59,A,A2,B,C,B+,B+,99016000.0,3.87
1050,A000500,가온전선,가온전선보통주,가온전선(주),코스피 전기·전자,I.013,12,2022,42.96,20.9,30.97676224652797,2.03,420.0,6.125987083594997,118.37393939744688,1.08,A,A2,B+,B+,A,B,123999000.0,5.57
1051,A000500,가온전선,가온전선보통주,가온전선(주),코스피 전기·전자,I.013,12,2023,44.16,20.36,9.324540276801962,2.95,417.0,4.1634548685835275,121.47699013123355,2.24,A,A2,B,A,A,C,156009000.0,5.13
1540,A000520,삼일제약,삼일제약보통주,삼일제약(주),코스피 제약,I.009,12,2020,33.62,49.02,1.645643709065192,5.49,193.0,6.534064804348098,47.39500940931498,0.82,,,B,D,B,B+,137915000.0,7.36
1541,A000520,삼일제약,삼일제약보통주,삼일제약(주),코스피 제약,I.009,12,2021,29.1,55.76,9.191002530839754,0.72,206.0,1.676049410843839,37.28803065541459,-2.28,,,D,D,D,C,112901000.0,6.04
1542,A000520,삼일제약,삼일제약보통주,삼일제약(주),코스피 제약,I.009,12,2022,38.21,44.56,34.07687889987137,3.45,194.0,6.671766239823318,31.62495546926373,-0.5,,,C,D,C,C,117670000.0,7.72
1543,A000520,삼일제약,삼일제약보통주,삼일제약(주),코스피 제약,I.009,12,2023,35.25,45.55,9.321859216841567,5.81,162.0,6.3024592429690856,22.187932942911573,-0.33,,,C,D,C,B,102019000.0,16.95
2896,A000590,CS홀딩스,CS홀딩스보통주,CS홀딩스(주),코스피 금융,I.021,12,2020,95.62,0.01,0.8278356407721565,35.25,2.0,27.394314614693155,8052.4057829653175,0.54,,,B,D,C,B+,68114000.0,5.38
2897,A000590,CS홀딩스,CS홀딩스보통주,CS홀딩스(주),코스피 금융,I.021,12,2021,95.35,0.04,9.726788922773943,35.98,2.0,25.27131545317894,3566.591064036812,1.33,,,C,D,D,B,74002000.0,5.98
2898,A000590,CS홀딩스,CS홀딩스보통주,CS홀딩스(주),코스피 금융,I.021,12,2022,95.69,0.01,3.0065812726970176,41.39,2.0,36.701939041917555,5336.3410941437205,1.61,,,C,D,D,B,66498000.0,7.95
2899,A000590,CS홀딩스,CS홀딩스보통주,CS홀딩스(주),코스피 금융,I.021,12,2023,95.77,0.05,-3.671173079967449,42.67,2.0,37.71242297318245,6694.7173050469455,1.64,,,C,D,D,B,71462000.0,4.82
1108,A000640,동아쏘시오홀딩스,동아쏘시오홀딩스보통주,동아쏘시오홀딩스(주),코스피 금융,I.021,12,2020,67.66,31.11,-19.4742255576265,31.94,9.0,6.684656166375369,65.58347466197333,8.33,,,A,B+,A+,A,754004000.0,4.21
1109,A000640,동아쏘시오홀딩스,동아쏘시오홀딩스보통주,동아쏘시오홀딩스(주),코스피 금융,I.021,12,2021,66.0,28.98,6.13942952212565,54.27,9.0,11.322880950299966,38.75710884853618,2.2,,,A,B,A,A,729963000.0,4.65
1110,A000640,동아쏘시오홀딩스,동아쏘시오홀딩스보통주,동아쏘시오홀딩스(주),코스피 금융,I.021,12,2022,67.41,29.4,4.167541621093385,58.63,9.0,13.332904162457082,19.968482318420453,0.91,,,A,B+,A+,A,644415000.0,6.25
1111,A000640,동아쏘시오홀딩스,동아쏘시오홀딩스보통주,동아쏘시오홀딩스(주),코스피 금융,I.021,12,2023,65.81,28.89,8.141490517650096,62.57,10.0,13.76961135567292,37.85847584231472,0.97,A,,A+,A,A+,A+,641240000.0,4.31
3144,A000650,천일고속,천일고속보통주,(주)천일고속,코스피 운송·창고,I.019,12,2020,56.61,19.37,-47.74808611816974,-32.08,70.0,8.341140792793613,173.2814135205538,-9.2,,,B,C,C,B+,100617000.0,4.45
3145,A000650,천일고속,천일고속보통주,(주)천일고속,코스피 운송·창고,I.019,12,2021,57.3,19.98,-5.829611548082547,-33.55,79.0,-19.469115992718365,235.56979312084292,-0.88,,,D,D,D,D,96187000.0,5.53
3146,A000650,천일고속,천일고속보통주,(주)천일고속,코스피 운송·창고,I.019,12,2022,48.53,23.38,28.491421680117448,-19.66,121.0,-5.41848668058117,50.40505419068453,-10.22,,,D,C,D,D,86468000.0,5.76
3147,A000650,천일고속,천일고속보통주,(주)천일고속,코스피 운송·창고,I.019,12,2023,34.82,23.45,16.696937685844084,-11.7,193.0,-3.9050711161481964,54.3406017208352,-8.78,,,D,C,D,D,67816000.0,3.98
4,A000660,SK하이닉스,에스케이하이닉스보통주,에스케이하이닉스(주),코스피 전기·전자,I.013,12,2020,77.37,12.78,20.553225999777645,14.89,64.0,75.12198120110224,111.23731131731543,6.9,AA,A1,A,B+,A+,A,86268280000.0,7.17
5,A000660,SK하이닉스,에스케이하이닉스보통주,에스케이하이닉스(주),코스피 전기·전자,I.013,12,2021,69.13,17.27,36.142030134197924,29.32,77.0,67.64371012234453,94.90531955346476,12.84,AA,,B+,B+,A,B+,95368310000.0,9.23
6,A000660,SK하이닉스,에스케이하이닉스보통주,에스케이하이닉스(주),코스피 전기·전자,I.013,12,2022,65.54,20.8,-8.851957958711354,20.22,64.0,39.687470001891114,48.44640118747801,3.16,AA,A1,A,A,A+,A,54600177000.0,8.82
7,A000660,SK하이닉스,에스케이하이닉스보통주,에스케이하이닉스(주),코스피 전기·전자,I.013,12,2023,58.65,29.92,-27.030236703747402,-16.9,48.0,9.345426675008877,55.4507333190392,-5.24,AA,A1,B+,A,A+,B,103012335000.0,8.67
944,A000670,영풍,영풍보통주,(주)영풍,코스피 금속,I.011,12,2020,78.87,0.51,-8.502289353657478,1.91,67.0,40.0714821950679,199.90884393330515,2.01,,,C,D,C,B+,991018000.0,6.71
945,A000670,영풍,영풍보통주,(주)영풍,코스피 금속,I.011,12,2021,70.99,5.49,8.196165226311237,-5.46,73.0,-9.526786013874746,101.78623073984052,-0.54,,,B,C,B+,B,1206536000.0,5.98
946,A000670,영풍,영풍보통주,(주)영풍,코스피 금속,I.011,12,2022,71.58,4.14,34.40718147391062,-6.01,100.0,11.49276207549291,106.61290015239145,-1.71,,,B+,B+,B+,B,1114434000.0,9.0
947,A000670,영풍,영풍보통주,(주)영풍,코스피 금속,I.011,12,2023,71.88,4.79,-13.768586103594371,-9.21,89.0,26.41561712376179,84.11778715055395,-1.77,,,B,B,B,B+,950493000.0,8.45
1516,A000680,LS네트웍스,LS네트웍스보통주,(주)엘에스네트웍스,코스피 유통,I.016,12,2020,39.22,47.41,-17.517109287590284,-13.17,37.0,2.8495829373779853,22.51319041130855,-4.01,BBB+,A3+,C,D,C,B,211980000.0,6.02
1517,A000680,LS네트웍스,LS네트웍스보통주,(주)엘에스네트웍스,코스피 유통,I.016,12,2021,41.51,41.69,24.84538933678204,2.67,46.0,2.2724200870194182,94.1190423128198,4.89,BBB+,A3+,B,C,B+,B,237197000.0,5.01
1518,A000680,LS네트웍스,LS네트웍스보통주,(주)엘에스네트웍스,코스피 유통,I.016,12,2022,41.94,41.03,2.314900400548847,3.94,44.0,-0.424741694368627,73.66109269001082,0.38,BBB+,,B+,B,A,B+,189127000.0,6.58
1519,A000680,LS네트웍스,LS네트웍스보통주,(주)엘에스네트웍스,코스피 유통,I.016,12,2023,43.05,40.0,-3.8113310951594648,2.99,41.0,1.2408560629274363,23.20523177774038,0.94,BBB+,,B+,B,A,B+,335307000.0,4.13
2356,A000700,유수홀딩스,유수홀딩스보통주,(주)유수홀딩스,코스피 일반서비스,I.026,12,2020,87.13,0.03,-3.605346951041566,21.51,6.0,13.632190285291786,281.1870991379034,29.08,,,B+,D,B,A,149480000.0,5.87
2357,A000700,유수홀딩스,유수홀딩스보통주,(주)유수홀딩스,코스피 일반서비스,I.026,12,2021,96.0,1.12,-54.63955608243776,-67.29,3.0,-346.6160374785473,632.032765965558,-1.02,,,B+,B,B+,B+,164063000.0,5.59
2358,A000700,유수홀딩스,유수홀딩스보통주,(주)유수홀딩스,코스피 일반서비스,I.026,12,2022,96.61,0.95,8.371890448549824,-82.62,3.0,-2.8122542637926706,500.8268166508988,10.21,,,B+,B+,A,B+,166668000.0,8.19
2359,A000700,유수홀딩스,유수홀딩스보통주,(주)유수홀딩스,코스피 일반서비스,I.026,12,2023,96.48,0.89,44.114531488980965,20.22,4.0,33.910599615914144,403.97628940130545,0.19,,,B+,B+,A,B+,150782000.0,4.73
