,Ticker,Name,종목명 (Full),기업명 (한글),거래소 업종,거래소 업종코드,결산월,회계년,자기자본비율(%),차입금의존도(%),매출액증가율(%),영업이익률(%),총자본회전율(%),부채 상환능력(%),당좌비율(%),ROA(당기순이익)(%),"신용등급 (채권, NICE)","신용등급 (CP, NICE)",ESG등급,환경,사회,지배구조,시가총액(천원),WACC(시가총액평균)(%)
1098,A016380,KG스틸,KG스틸보통주,KG스틸(주),코스피 금속,I.011,12,2022,56.3,33.48,14.589667290455077,8.86,265.0,37.01362446924224,82.71505267409411,18.72,,,B,B+,A,C,739066000.0,8.52
1099,A016380,KG스틸,KG스틸보통주,KG스틸(주),코스피 금속,I.011,12,2023,59.58,29.35,-10.5705091339096,8.76,190.0,32.54237854647501,112.47595512925355,6.28,,,B,B+,A,C,890079000.0,7.51
2208,A016450,한세예스24홀딩스,한세예스24홀딩스보통주,한세예스24홀딩스(주),코스피 섬유·의류,I.006,12,2020,54.1,41.57,8.098443596472826,72.26,20.0,12.36510167199652,3.269604180795131,6.8,,,B,D,B,B+,306400000.0,6.99
2209,A016450,한세예스24홀딩스,한세예스24홀딩스보통주,한세예스24홀딩스(주),코스피 섬유·의류,I.006,12,2021,58.98,37.15,-2.9079007963293435,67.92,18.0,12.908021869373831,5.529769092214532,8.56,,,B+,C,B+,B+,296800000.0,7.69
2210,A016450,한세예스24홀딩스,한세예스24홀딩스보통주,한세예스24홀딩스(주),코스피 섬유·의류,I.006,12,2022,86.74,11.73,14.646532961207415,67.63,7.000000000000001,13.9846643234822,12.970683019167181,3.11,,,A,B+,A,A,185000000.0,9.57
2211,A016450,한세예스24홀딩스,한세예스24홀딩스보통주,한세예스24홀딩스(주),코스피 섬유·의류,I.006,12,2023,81.84,17.15,89.0462922653869,82.02,8.0,22.523261612519377,17.803672242544515,4.37,,,A,B+,A,A,196000000.0,5.98
1844,A016580,환인제약,환인제약보통주,환인제약(주),코스피 제약,I.009,12,2020,90.01,0.66,7.631910374555462,17.1,60.0,72.20553049081143,675.6997949432897,7.47,,,B,D,B,B+,310621000.0,5.63
1845,A016580,환인제약,환인제약보통주,환인제약(주),코스피 제약,I.009,12,2021,89.83,0.49,3.4160690012689843,18.86,57.99999999999999,103.28600202135381,675.1394729665649,7.72,,,B,D,B+,B+,331081000.0,6.34
1846,A016580,환인제약,환인제약보통주,환인제약(주),코스피 제약,I.009,12,2022,90.44,0.07,9.639555207049,15.77,60.0,50.08453290823458,502.019840022498,6.54,,,B,C,C,B+,327361000.0,6.01
1847,A016580,환인제약,환인제약보통주,환인제약(주),코스피 제약,I.009,12,2023,89.3,0.16,17.49442729560102,13.62,66.0,56.83983798335866,393.04961918229964,7.77,,,C,D,C,B+,279745000.0,5.24
1796,A016590,신대양제지,신대양제지보통주,신대양제지(주),코스피 종이·목재,I.007,12,2020,89.28,0.56,-26.852395856152988,15.66,53.0,72.75093063177724,504.93680412794964,5.99,,,C,C,C,B,257100000.0,5.47
1797,A016590,신대양제지,신대양제지보통주,신대양제지(주),코스피 종이·목재,I.007,12,2021,89.23,0.37,29.624296577380704,11.23,67.0,3.24929654318639,287.973940558458,6.11,,,D,D,C,D,345352000.0,5.32
1798,A016590,신대양제지,신대양제지보통주,신대양제지(주),코스피 종이·목재,I.007,12,2022,89.85,1.91,-7.742161614875542,9.48,60.0,80.89714929688459,401.34692621778197,4.84,,,D,C,D,D,346561000.0,5.06
1799,A016590,신대양제지,신대양제지보통주,신대양제지(주),코스피 종이·목재,I.007,12,2023,89.62,1.95,-3.537770318243416,14.97,56.00000000000001,105.7651388484379,492.13193684792486,6.78,,,D,C,D,D,226474000.0,5.56
2532,A016710,대성홀딩스,대성홀딩스보통주,대성홀딩스(주),코스피 일반서비스,I.026,12,2020,65.98,29.54,117.62715936720825,71.92,15.0,18.237170304776026,65.34372456602581,4.83,A+,,B,C,B+,B,398214000.0,1.75
2533,A016710,대성홀딩스,대성홀딩스보통주,대성홀딩스(주),코스피 일반서비스,I.026,12,2021,66.52,29.62,-48.138868583234284,46.01,8.0,2.808325443933896,1294.9001596910518,1.67,A+,,C,D,B,C,757814000.0,2.24
2534,A016710,대성홀딩스,대성홀딩스보통주,대성홀딩스(주),코스피 일반서비스,I.026,12,2022,64.16,29.41,5.780280240329283,41.1,7.000000000000001,4.073215197511433,121.80380559704886,9.71,A+,,C,C,C,C,1761796000.0,4.47
2535,A016710,대성홀딩스,대성홀딩스보통주,대성홀딩스(주),코스피 일반서비스,I.026,12,2023,71.23,24.31,-16.506424990881662,-37.09,5.0,-22.12939819525672,108.40585144166721,59.37,A+,,C,B+,A,D,161377000.0,8.35
2696,A016740,두올,두올보통주,(주)두올,코스피 운송장비·부품,I.015,12,2020,57.34,22.56,15.73852684096051,6.63,157.0,13.075229507092276,157.48790911213547,2.15,BBB-,,B,C,B,B+,91350000.0,6.76
2697,A016740,두올,두올보통주,(주)두올,코스피 운송장비·부품,I.015,12,2021,60.15,20.11,-4.510847780542804,7.53,145.0,14.481160477676388,186.7779529124568,4.66,BBB-,,D,D,C,C,142683000.0,8.46
2698,A016740,두올,두올보통주,(주)두올,코스피 운송장비·부품,I.015,12,2022,59.55,18.4,0.4197613736060424,4.77,137.0,18.11104963646941,115.34332790375001,5.09,BBB-,,C,C,B,D,80848000.0,8.95
2699,A016740,두올,두올보통주,(주)두올,코스피 운송장비·부품,I.015,12,2023,65.32,9.97,53.04445883887681,11.48,190.0,10.846928194096133,135.1351136591409,12.09,BBB-,,D,D,C,C,116725000.0,7.19
1252,A016800,퍼시스,퍼시스보통주,(주)퍼시스,코스피 제조,I.027,12,2020,92.38,0.56,-5.872731438768231,8.97,63.0,108.62072059480556,571.6133712141826,6.94,,,B,C,B+,B,340975000.0,2.72
1253,A016800,퍼시스,퍼시스보통주,(주)퍼시스,코스피 제조,I.027,12,2021,86.45,0.3,13.823352731986539,8.78,68.0,71.94426216120797,346.1352668883579,8.4,,,D,D,C,D,411700000.0,3.13
1254,A016800,퍼시스,퍼시스보통주,(주)퍼시스,코스피 제조,I.027,12,2022,87.81,0.86,14.32205410938845,9.76,76.0,37.91143032031518,265.27276499596127,1.76,,,D,C,C,D,349600000.0,6.26
1255,A016800,퍼시스,퍼시스보통주,(주)퍼시스,코스피 제조,I.027,12,2023,90.29,0.6,-11.169237845623424,10.01,64.0,77.65292022151651,381.1784537758961,11.14,,,C,B,C,C,350750000.0,3.76
2932,A016880,웅진,웅진보통주,(주)웅진,코스피 일반서비스,I.026,12,2020,58.26,27.97,1.0080678931344345,17.66,74.0,23.866979581771446,55.562053885969554,8.71,,,B,D,B+,B+,86125000.0,4.95
2933,A016880,웅진,웅진보통주,(주)웅진,코스피 일반서비스,I.026,12,2021,59.93,27.5,-11.385018371711597,17.18,57.99999999999999,8.606099854107443,35.60632487074427,4.71,,,C,C,B+,C,136675000.0,6.51
2934,A016880,웅진,웅진보통주,(주)웅진,코스피 일반서비스,I.026,12,2022,64.69,23.29,19.5673878829856,12.91,63.0,17.30950612789957,92.0146191403509,5.48,,,B+,B,A,B,94714000.0,9.81
2935,A016880,웅진,웅진보통주,(주)웅진,코스피 일반서비스,I.026,12,2023,68.35,22.56,0.6345066398586452,11.91,60.0,17.82396576431291,29.93962719736949,3.38,,,B,C,B+,B,101028000.0,8.09
2940,A017040,광명전기,광명전기보통주,(주)광명전기,코스피 전기·전자,I.013,12,2020,63.82,6.23,-9.977761309852829,4.2,130.0,14.082990380018549,178.63335545193658,3.78,,,C,C,D,B,87109000.0,7.93
2941,A017040,광명전기,광명전기보통주,(주)광명전기,코스피 전기·전자,I.013,12,2021,66.22,6.13,9.076717319879691,1.89,134.0,-4.383201134504332,190.49759970749574,3.3,,,D,D,C,D,111378000.0,8.09
2942,A017040,광명전기,광명전기보통주,(주)광명전기,코스피 전기·전자,I.013,12,2022,66.4,5.27,6.091622394857454,3.33,138.0,-1.265509285228094,176.45060523858882,2.91,,,D,C,C,D,90359000.0,12.25
2943,A017040,광명전기,광명전기보통주,(주)광명전기,코스피 전기·전자,I.013,12,2023,68.71,4.78,17.2802956146767,-1.92,148.0,-41.43814662630022,189.60342794393904,8.99,,,C,C,D,C,102277000.0,7.96
3076,A017180,명문제약,명문제약 보통주,명문제약(주),코스피 제약,I.009,12,2020,43.66,33.84,-16.393628003879346,-21.93,147.0,-13.68625423065617,58.91465757374487,-13.09,,,B,D,B,B+,246842000.0,5.67
3077,A017180,명문제약,명문제약 보통주,명문제약(주),코스피 제약,I.009,12,2021,45.55,29.71,2.2668784105641215,-5.97,147.0,-0.8362653091791353,50.67631983688175,-3.58,,,D,D,D,C,160600000.0,7.19
3078,A017180,명문제약,명문제약 보통주,명문제약(주),코스피 제약,I.009,12,2022,49.48,27.52,11.308453138868678,4.82,161.0,5.393857997030553,56.5998514482328,4.41,,,C,D,D,B,97446000.0,11.88
3079,A017180,명문제약,명문제약 보통주,명문제약(주),코스피 제약,I.009,12,2023,44.41,31.28,4.822008122332622,1.26,166.0,-4.343584379626058,70.15119613987117,-2.45,,,D,D,D,C,77584000.0,6.47
2572,A017370,우신시스템,우신시스템보통주,(주)우신시스템,코스피 기계·장비,I.012,12,2020,51.67,27.69,6.863052450507778,4.68,113.99999999999999,10.885916521511744,129.95631616843346,0.12,,,B,C,C,B+,65290000.0,3.68
2573,A017370,우신시스템,우신시스템보통주,(주)우신시스템,코스피 기계·장비,I.012,12,2021,44.93,25.35,19.194606674909863,3.9,144.0,24.77390655046191,100.26468024787718,-6.02,,,D,D,D,C,74996000.0,5.69
2574,A017370,우신시스템,우신시스템보통주,(주)우신시스템,코스피 기계·장비,I.012,12,2022,59.28,20.73,-16.656818632441794,9.71,122.0,22.61574277981819,134.74894477564007,4.21,,,C,D,D,B,58605000.0,8.98
2575,A017370,우신시스템,우신시스템보통주,(주)우신시스템,코스피 기계·장비,I.012,12,2023,41.75,10.46,-14.9044775197112,17.2,94.0,29.84378256864286,107.97745289373954,6.8,,,C,D,D,B,161896000.0,9.25
1724,A017390,서울가스,서울도시가스보통주,서울도시가스(주),코스피 전기·가스,I.017,12,2020,61.18,4.05,-5.956214708856389,0.54,130.0,8.227661965105813,220.91350992651107,9.61,,,B+,C,B+,A,452500000.0,1.74
1725,A017390,서울가스,서울도시가스보통주,서울도시가스(주),코스피 전기·가스,I.017,12,2021,62.42,3.5,-0.07960214321856007,-0.46,124.0,0.015486504695698004,197.02156339958123,0.49,,,C,D,B,C,837500000.0,3.99
1726,A017390,서울가스,서울도시가스보통주,서울도시가스(주),코스피 전기·가스,I.017,12,2022,56.11,3.04,35.06452145555458,0.17,167.0,10.764345295649287,183.82576776900729,0.99,,,C,C,B,C,2125000000.0,3.76
1727,A017390,서울가스,서울도시가스보통주,서울도시가스(주),코스피 전기·가스,I.017,12,2023,59.87,3.22,0.24159356335868853,-0.29,165.0,0.9523862225805615,219.3596162490173,1.01,,,C,C,C,C,309000000.0,7.95
2436,A017550,수산중공업,수산중공업보통주,(주)수산중공업,코스피 기계·장비,I.012,12,2020,61.75,31.4,-21.556950678806608,6.02,57.99999999999999,16.914667804108554,45.26387250568772,0.54,,,C,D,C,B+,164655000.0,6.8
2437,A017550,수산중공업,수산중공업보통주,(주)수산중공업,코스피 기계·장비,I.012,12,2021,62.17,26.68,84.4643196296268,6.0,103.0,-3.0512821018590177,45.62344004533773,1.81,,,D,D,D,C,158446000.0,6.6
2438,A017550,수산중공업,수산중공업보통주,(주)수산중공업,코스피 기계·장비,I.012,12,2022,61.28,27.21,16.193617346559485,7.8,111.00000000000001,7.940856327374315,43.958101177000295,3.39,,,C,C,D,B,143870000.0,10.48
2439,A017550,수산중공업,수산중공업보통주,(주)수산중공업,코스피 기계·장비,I.012,12,2023,76.91,16.83,-18.829851751574232,5.13,77.0,23.396779751495412,103.61238916474392,6.21,,,D,C,D,D,131662000.0,8.77
128,A017670,SK텔레콤,SK텔레콤보통주,에스케이텔레콤(주),코스피 통신,I.020,12,2020,54.24,26.99,2.8480716189043243,8.71,68.0,29.978349469716076,99.32097602948859,2.39,AAA,A1,A,A,A+,A,19217479000.0,4.07
129,A017670,SK텔레콤,SK텔레콤보통주,에스케이텔레콤(주),코스피 통신,I.020,12,2021,41.16,33.62,3.0323590680901624,9.21,86.0,25.24652991596339,86.10616059001079,3.68,AAA,A1,A,A+,A,A,12670439000.0,5.14
130,A017670,SK텔레콤,SK텔레콤보통주,에스케이텔레콤(주),코스피 통신,I.020,12,2022,39.28,36.35,2.5759099318093392,10.64,117.0,25.374460884434598,87.79644763944334,3.29,AAA,A1,A,A,A,A,10372691000.0,4.14
131,A017670,SK텔레콤,SK텔레콤보통주,에스케이텔레콤(주),코스피 통신,I.020,12,2023,41.75,35.61,1.406667704155784,11.56,121.0,27.530112111816624,84.92913411570674,4.12,AAA,A1,A,A,A+,A,10963541000.0,3.7
504,A017800,현대엘리베이,현대엘리베이터보통주,현대엘리베이터(주),코스피 기계·장비,I.012,12,2020,53.77,16.42,-4.278444988453078,9.41,142.0,15.062417431398773,143.97121423287894,1.7,A,,A,B+,A,A,1620363000.0,6.84
505,A017800,현대엘리베이,현대엘리베이터보통주,현대엘리베이터(주),코스피 기계·장비,I.012,12,2021,50.36,19.52,3.5342446721144505,7.52,140.0,12.005866173440623,98.55509343696234,4.65,A,,B,C,B,B,1681586000.0,6.37
506,A017800,현대엘리베이,현대엘리베이터보통주,현대엘리베이터(주),코스피 기계·장비,I.012,12,2022,52.02,22.12,7.262705872535746,4.28,140.0,-1.4126202425688072,81.1660635523524,5.16,A,,B+,B+,A,B+,1155070000.0,7.84
507,A017800,현대엘리베이,현대엘리베이터보통주,현대엘리베이터(주),코스피 기계·장비,I.012,12,2023,49.74,28.19,13.59726148731728,5.37,151.0,16.916416652575833,99.83251844731217,9.99,A,,A,A,A+,B+,1733747000.0,6.07
