NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
10990,AJ네트웍스,095570,미공개,미공개,미공개,C,2016,,,,
10989,AJ네트웍스,095570,미공개,미공개,미공개,B,2017,,,,
10988,AJ네트웍스,095570,미공개,미공개,미공개,C,2018,,,,
10987,AJ네트웍스,095570,B,미공개,B,B,2019,,,,
10986,AJ네트웍스,095570,B,D,B,B,2020,,,,
10985,AJ네트웍스,095570,B,D,B,B,2021,,,,
10984,AJ네트웍스,095570,B+,C,B+,B+,2022,,,,
10983,AJ네트웍스,095570,B+,C,A,B+,2023,,,,
10982,AJ네트웍스,095570,B+,C,A,B+,2024,,,,
10981,AJ렌터카,068400,미공개,미공개,미공개,C,2014,,,,
10980,AJ렌터카,068400,미공개,미공개,미공개,C,2015,,,,
10979,AJ렌터카,068400,미공개,미공개,미공개,C,2016,,,,
10978,AJ렌터카,068400,미공개,미공개,미공개,C,2017,,,,
10977,AJ렌터카,068400,미공개,B+,미공개,B,2018,,,,
10976,AJ렌터카,068400,미공개,B,B,C,2019,,,,
10975,AK홀딩스,006840,미공개,B+,미공개,미공개,2012,,,,
10974,AK홀딩스,006840,미공개,미공개,미공개,C,2013,,,,
10973,AK홀딩스,006840,미공개,미공개,미공개,C,2014,,,,
10972,AK홀딩스,006840,미공개,미공개,미공개,C,2015,통합 등급조정(2016.5),,사회 등급조정(2016.5),
10971,AK홀딩스,006840,미공개,미공개,미공개,B,2016,,,사회 등급조정(2016.8),
10970,AK홀딩스,006840,미공개,미공개,미공개,B,2017,,,,
10969,AK홀딩스,006840,미공개,미공개,미공개,C,2018,,,,
10968,AK홀딩스,006840,B,미공개,B,B,2019,,,,
10967,AK홀딩스,006840,B+,C,B+,B+,2020,,,,
10966,AK홀딩스,006840,B+,B,B+,B+,2021,,,,
10965,AK홀딩스,006840,B+,B,A,B,2022,,,,
10964,AK홀딩스,006840,A,A,A+,B+,2023,,,,
10963,AK홀딩스,006840,A,A,A+,B+,2024,,,,
10962,AP시스템,265520,미공개,미공개,미공개,B,2019,,,,
10961,AP시스템,265520,D,D,D,C,2021,,,,
10960,AP시스템,265520,D,D,C,C,2022,,,,
10959,BGF,027410,미공개,미공개,B+,B,2016,,,,
10958,BGF,027410,미공개,미공개,A,B,2017,,,,
10957,BGF,027410,B,미공개,A,B,2019,,,,
10956,BGF,027410,B+,B,A,B+,2020,,,,
10955,BGF,027410,A,A,A+,A,2021,,,,
10954,BGF,027410,B+,A,A+,B,2022,,,,
10953,BGF,027410,A,A,A+,B+,2023,,,,
10952,BGF,027410,A,A,A+,B+,2024,,,,
10951,BGF리테일,282330,B,미공개,B+,B+,2019,통합 등급조정(2020.4),,사회 등급조정(2020.4),
10950,BGF리테일,282330,A,B+,B+,A,2020,,,사회 등급조정(2020.10),
10949,BGF리테일,282330,A,A,A+,A,2021,,,,
10948,BGF리테일,282330,A,A,A+,A,2022,,,,
10947,BGF리테일,282330,A,A,A+,A,2023,,,,
10946,BGF리테일,282330,A,A,A+,A,2024,,,,
10945,BGF에코머티리얼즈,126600,B,B,B,B,2024,,,,
10944,BNK금융지주,138930,A,미공개,A,A+,2012,,,,
10943,BNK금융지주,138930,B+,미공개,A,A,2013,,,,
10942,BNK금융지주,138930,A,미공개,A,A+,2014,,,,
10941,BNK금융지주,138930,A,미공개,A,A+,2015,,,,
10940,BNK금융지주,138930,A,미공개,B+,A+,2016,,,,
10939,BNK금융지주,138930,B+,B+,A,B,2017,통합 등급조정(2017.8),,,지배구조 등급조정(2017.8)
10938,BNK금융지주,138930,B+,미공개,B+,미공개,2018,,,사회 등급조정(2018.10),
10937,BNK금융지주,138930,A+,B+,A+,A+,2019,,,,
10936,BNK금융지주,138930,A+,B+,A+,A+,2020,,,,
10935,BNK금융지주,138930,A+,A,A+,A+,2021,,,,
10934,BNK금융지주,138930,A,A,A,A,2022,,,,
10933,BNK금융지주,138930,A,A,A+,A,2023,,,,
10932,BNK금융지주,138930,A,A+,A+,A,2024,,,,
10931,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2020,,,,
10930,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2021,,,,
10929,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2022,,,,
10928,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2023,,,,
10927,BNK캐피탈,801190,등급없음,등급없음,등급없음,B,2024,,,,
10926,BYC,001460,미공개,미공개,미공개,미공개,2012,,,,
10925,BYC,001460,미공개,미공개,미공개,B,2013,,,,
10924,BYC,001460,미공개,미공개,미공개,C,2014,,,,
10923,BYC,001460,미공개,미공개,미공개,C,2015,,,,
10922,BYC,001460,미공개,미공개,미공개,C,2016,,,,
10921,BYC,001460,미공개,미공개,미공개,B,2017,,,,
10920,BYC,001460,미공개,미공개,미공개,B+,2018,,,,
10919,BYC,001460,B,미공개,B+,B+,2019,,,,
10918,BYC,001460,B,D,B,B+,2020,,,,
10917,BYC,001460,B,D,B,B+,2021,,,,
10916,BYC,001460,D,D,D,D,2022,,,,
10915,BYC,001460,D,D,D,D,2023,,,,
10914,BYC,001460,D,D,D,C,2024,,,,
10913,CJ,001040,미공개,미공개,미공개,미공개,2012,,,,
10912,CJ,001040,B+,미공개,A,B,2013,,,,
10911,CJ,001040,B+,B+,A,B,2014,,,,
10910,CJ,001040,B+,B+,A,B,2015,,,,지배구조 등급조정(2016.2)
10909,CJ,001040,B+,B+,A,B+,2016,,,,
10908,CJ,001040,A,미공개,A,A,2017,,,,
10907,CJ,001040,A,미공개,A+,A,2018,,,,
10906,CJ,001040,A,B,A+,A,2019,,,,
10905,CJ,001040,A,B,A,A,2020,,,,
10904,CJ,001040,A,B+,A+,A,2021,,,,
10903,CJ,001040,B+,B+,A,B+,2022,,,,
10902,CJ,001040,A,A,A+,B+,2023,,,,
10901,CJ,001040,A,A,A+,A,2024,,,,
10900,CJ CGV,079160,미공개,미공개,미공개,미공개,2012,,,,
10899,CJ CGV,079160,미공개,미공개,미공개,B,2013,,,,
10898,CJ CGV,079160,미공개,미공개,B+,C,2014,,,,
10897,CJ CGV,079160,미공개,미공개,미공개,B,2015,,,사회 등급조정(2015.8),
10896,CJ CGV,079160,미공개,미공개,B+,C,2016,,,,지배구조 등급조정(2017.2)
10895,CJ CGV,079160,미공개,미공개,B+,B+,2017,,,,
10894,CJ CGV,079160,B+,미공개,B+,A,2018,,,,
10893,CJ CGV,079160,B+,B,B+,A,2019,,,,
10892,CJ CGV,079160,A,B,A,A,2020,,,,
10891,CJ CGV,079160,A,B,A,A,2021,,,,
10890,CJ CGV,079160,B+,B,B+,B+,2022,,,,
10889,CJ CGV,079160,A,A,A+,B+,2023,,,,
10888,CJ CGV,079160,A,A+,A+,A,2024,,,,
10887,CJ ENM,035760,B,미공개,B+,B+,2019,,,,
10886,CJ ENM,035760,B+,C,A,A,2020,,,,
10885,CJ ENM,035760,A,B,A+,A,2021,,,,
10884,CJ ENM,035760,B+,B+,A,B,2022,,,,
10883,CJ ENM,035760,B+,B+,A+,B,2023,,,,
10882,CJ ENM,035760,A,B+,A+,B+,2024,,,,
10881,CJ 바이오사이언스,311690,C,D,C,B,2023,,,,
10880,CJ 바이오사이언스,311690,B+,C,B+,B+,2024,,,,
10879,CJ대한통운,000120,미공개,미공개,B+,미공개,2012,,,,
10878,CJ대한통운,000120,B+,B+,A,B+,2013,,,,
10877,CJ대한통운,000120,B+,B+,A,B+,2014,,,,
10876,CJ대한통운,000120,B+,B+,B+,B+,2015,,,,
10875,CJ대한통운,000120,A,A,A,B+,2016,,,,
10874,CJ대한통운,000120,B+,A,B+,B+,2017,,,사회 등급조정(2017.8),
10873,CJ대한통운,000120,B+,A,B+,B+,2018,통합 등급조정(2018.10),,사회 등급조정(2018.10),
10872,CJ대한통운,000120,B+,A,B+,B+,2019,,,,
10871,CJ대한통운,000120,A,A,B,A,2020,,,"사회 등급조정(2020.10, 2021.1)",
10870,CJ대한통운,000120,A,A,A+,A,2021,,,,
10869,CJ대한통운,000120,B+,B+,A+,B,2022,,,,
10868,CJ대한통운,000120,A,A,A+,B+,2023,,,,
10867,CJ대한통운,000120,A,A,A+,B+,2024,,,,
10866,CJ씨푸드,011150,미공개,미공개,미공개,미공개,2012,,,,
10865,CJ씨푸드,011150,미공개,미공개,미공개,C,2013,,,,
10864,CJ씨푸드,011150,미공개,미공개,미공개,B,2014,,,,
10863,CJ씨푸드,011150,미공개,B+,미공개,B,2015,,,,
10862,CJ씨푸드,011150,미공개,미공개,미공개,B,2016,,,,
10861,CJ씨푸드,011150,미공개,미공개,미공개,B,2017,,,,
10860,CJ씨푸드,011150,미공개,미공개,B+,B,2018,,,,
10859,CJ씨푸드,011150,미공개,미공개,미공개,B+,2019,,,,
10858,CJ씨푸드,011150,B,C,B+,B+,2020,,,,
10857,CJ씨푸드,011150,B,C,B+,B+,2021,,,,
10856,CJ씨푸드,011150,B,C,B,B,2022,,,,
10855,CJ씨푸드,011150,B+,B+,A,B,2023,,,,
10854,CJ씨푸드,011150,B+,A,A,B,2024,,,,
10853,CJ제일제당,097950,B+,B+,미공개,B+,2012,,,,
10852,CJ제일제당,097950,B+,A,A,B,2013,,,,
10851,CJ제일제당,097950,B+,A,A,B,2014,,,,
10850,CJ제일제당,097950,B+,A,B+,B,2015,,,,지배구조 등급조정(2016.2)
10849,CJ제일제당,097950,B+,A,B+,B,2016,,,사회 등급조정(2017.2),
10848,CJ제일제당,097950,A,A,A,B+,2017,,,,
10847,CJ제일제당,097950,A,A,A+,B+,2018,,,,
10846,CJ제일제당,097950,A,A,A+,A,2019,,,,
10845,CJ제일제당,097950,A,A,A+,A,2020,,,,
10844,CJ제일제당,097950,A,A,A+,A,2021,,,,
10843,CJ제일제당,097950,A,A,A,B+,2022,,,,
10842,CJ제일제당,097950,A,A,A+,A,2023,,,,
10841,CJ제일제당,097950,A,A,A,B+,2024,,,,
10840,CJ프레시웨이,051500,A,B,A,A,2019,,,,
10839,CJ프레시웨이,051500,A,B,A+,A,2020,,,,
10838,CJ프레시웨이,051500,A,B,A,A,2021,,,,
10837,CJ프레시웨이,051500,A,B,A,A,2022,,,,
10836,CJ프레시웨이,051500,A,B+,A+,A,2023,,,,
10835,CJ프레시웨이,051500,A,A,A,B+,2024,,,,지배구조 등급조정(2024.10.)
10834,CJ헬로,037560,미공개,미공개,미공개,B+,2014,,,,
10833,CJ헬로,037560,미공개,미공개,미공개,B,2015,,,,
10832,CJ헬로,037560,미공개,미공개,미공개,C,2016,,,사회 등급조정(2017.2),지배구조 등급조정(2017.2)
10831,CJ헬로,037560,미공개,미공개,B+,B+,2017,,,,
10830,CJ헬로,037560,B+,미공개,B+,A,2018,,,,
10829,CJ헬로,037560,B+,미공개,B+,B+,2019,,,,
10828,CMG제약,058820,미공개,미공개,미공개,C,2019,,,,
10827,CMG제약,058820,C,D,B,C,2020,,,,
10826,CMG제약,058820,C,D,C,C,2021,,,,
10825,CMG제약,058820,D,D,D,D,2022,,,,
10824,CS홀딩스,000590,미공개,미공개,미공개,미공개,2012,,,,
10823,CS홀딩스,000590,미공개,미공개,미공개,C,2013,,,,
10822,CS홀딩스,000590,미공개,미공개,미공개,C,2014,,,,
10821,CS홀딩스,000590,미공개,미공개,미공개,B,2015,,,,
10820,CS홀딩스,000590,미공개,미공개,미공개,C,2016,,,,
10819,CS홀딩스,000590,미공개,미공개,미공개,B,2017,,,,
10818,CS홀딩스,000590,미공개,미공개,미공개,B,2018,,,,
10817,CS홀딩스,000590,미공개,미공개,미공개,B,2019,,,,
10816,CS홀딩스,000590,C,D,C,B,2020,,,,
10815,CS홀딩스,000590,B,D,C,B+,2021,,,,
10814,CS홀딩스,000590,C,D,D,B,2022,,,,
10813,CS홀딩스,000590,C,D,D,B,2023,,,,
10812,CS홀딩스,000590,C,D,D,B,2024,,,,
10811,DB,012030,미공개,미공개,미공개,미공개,2012,,,,
10810,DB,012030,미공개,미공개,미공개,B,2013,,,,
10809,DB,012030,미공개,미공개,미공개,B,2014,,,,
10808,DB,012030,미공개,미공개,미공개,C,2015,,,,
10807,DB,012030,미공개,미공개,미공개,C,2016,,,,
10806,DB,012030,미공개,미공개,미공개,B,2017,,,,
10805,DB,012030,미공개,미공개,미공개,B,2018,,,,
10804,DB,012030,B,미공개,B,B,2019,,,,
10803,DB,012030,B,D,B,B,2020,,,,
10802,DB,012030,B,D,B+,B+,2021,,,,
10801,DB,012030,B,D,B,B+,2022,,,,
10800,DB,012030,C,D,B,C,2023,,,,
10799,DB,012030,C,D,B,C,2024,,,,
10798,DB금융투자,016610,미공개,미공개,B+,미공개,2012,,,,
10797,DB금융투자,016610,미공개,미공개,미공개,C,2013,,,,
10796,DB금융투자,016610,미공개,미공개,미공개,B,2014,,,,
10795,DB금융투자,016610,B+,미공개,미공개,A,2015,,,,
10794,DB금융투자,016610,미공개,미공개,미공개,B+,2016,,,,
10793,DB금융투자,016610,B+,미공개,미공개,A,2017,,,사회 등급조정(2018.3),
10792,DB금융투자,016610,미공개,미공개,미공개,미공개,2018,,,,
10791,DB금융투자,016610,B,미공개,B+,B,2019,,,,
10790,DB금융투자,016610,B,D,A,B,2020,,,,
10789,DB금융투자,016610,B,D,B+,B,2021,,,,
10788,DB금융투자,016610,B,C,B,B,2022,,,,
10787,DB금융투자,016610,B,C,B,B+,2023,,,,
10786,DB금융투자,016610,B,C,C,B+,2024,,,,
10785,DB생명보험,818158,등급없음,등급없음,등급없음,B,2019,,,,
10784,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2020,,,,
10783,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2021,,,,
10782,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2022,,,,
10781,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2023,,,,
10780,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2024,,,,
10779,DB손해보험,005830,B+,B+,A,B+,2012,,,,
10778,DB손해보험,005830,B+,B+,B+,B+,2013,,,,
10777,DB손해보험,005830,A,B+,B+,A+,2014,,,,
10776,DB손해보험,005830,A,B+,A,A,2015,,,,
10775,DB손해보험,005830,A,B+,A,A+,2016,,,,
10774,DB손해보험,005830,A,B+,A,A,2017,,,,
10773,DB손해보험,005830,B+,A,A,미공개,2018,,,,
10772,DB손해보험,005830,B+,A,A,B+,2019,,,,
10771,DB손해보험,005830,B+,A,A,B+,2020,,,,
10770,DB손해보험,005830,A,A,A+,B+,2021,,,,
10769,DB손해보험,005830,B+,B+,A,B+,2022,,,,
10768,DB손해보험,005830,B+,B+,A,B+,2023,,,,
10767,DB손해보험,005830,B+,A,A,B+,2024,,,,
10766,DB하이텍,000990,미공개,B+,미공개,미공개,2012,,,,
10765,DB하이텍,000990,B+,B+,미공개,B+,2013,,,,
10764,DB하이텍,000990,미공개,미공개,B+,B,2014,,,,
10763,DB하이텍,000990,미공개,B+,B+,C,2015,,,,
10762,DB하이텍,000990,B+,B+,B+,B,2016,,,,
10761,DB하이텍,000990,미공개,B+,B+,C,2017,,,,
10760,DB하이텍,000990,B+,B+,B+,B,2018,,,,
10759,DB하이텍,000990,B+,B+,A,B+,2019,,,,
10758,DB하이텍,000990,B+,B+,A,B+,2020,,,,
10757,DB하이텍,000990,A,A,A,A,2021,,,,
10756,DB하이텍,000990,B,B,B+,B,2022,,,,
10755,DB하이텍,000990,B+,A,A,B,2023,,,,
10754,DB하이텍,000990,C,B+,A,D,2024,,,,
10753,DGB금융지주,139130,B+,B+,미공개,A,2012,,,,
10752,DGB금융지주,139130,B+,B+,미공개,A,2013,,,,
10751,DGB금융지주,139130,A,A,A,A,2014,,,,
10750,DGB금융지주,139130,A,A,B+,A+,2015,,,,
10749,DGB금융지주,139130,A+,A,A+,A+,2016,,,,
10748,DGB금융지주,139130,A,A,A,A,2017,,,,
10747,DGB금융지주,139130,B+,A,B+,미공개,2018,,,사회 등급조정(2018.10),
10746,DGB금융지주,139130,B+,A,A,B+,2019,,,,
10745,DGB금융지주,139130,A+,A,A+,A+,2020,,,,
10744,DGB금융지주,139130,A+,A,A+,A+,2021,,,,
10743,DGB금융지주,139130,A,A+,A+,A,2022,,,,
10742,DGB금융지주,139130,A,A+,A,A,2023,,,사회 등급조정(2024.07.),
10741,DGB금융지주,139130,A,A+,A,A,2024,,,사회 등급조정(2024.10.),
10740,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2019,,,,
10739,DGB생명보험,813363,등급없음,등급없음,등급없음,A,2020,,,,
10738,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2021,,,,
10737,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2022,,,,
10736,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2023,,,,
10735,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2024,,,,
10734,DL,000210,A,A+,A+,B+,2021,통합 등급조정(2021.10),,,지배구조 등급조정(2021.10)
10733,DL,000210,A,A,A+,A,2022,,,,
10732,DL,000210,A,A,A,A,2023,,,,
10731,DL,000210,A,A,A,A,2024,,,,
10730,DL건설,001880,B+,B+,A,B+,2021,,,,
10729,DL건설,001880,A,A,A,B+,2022,,,,
10728,DL건설,001880,A,A,A+,B+,2023,,,,
10727,DL이앤씨,375500,A,A,A,A,2022,,,사회 등급조정(2022.11),
10726,DL이앤씨,375500,A,A,B+,A,2023,,,사회 등급조정(2023.10.),
10725,DL이앤씨,375500,A,A,A+,A,2024,,,,
10724,DN오토모티브,007340,C,C,B,D,2023,,,,
10723,DN오토모티브,007340,C,C,C,C,2024,,,,
10722,DRB동일,004840,미공개,미공개,미공개,미공개,2012,,,,
10721,DRB동일,004840,미공개,미공개,미공개,C,2013,,,,
10720,DRB동일,004840,미공개,미공개,미공개,C,2014,,,,
10719,DRB동일,004840,미공개,미공개,미공개,C,2015,,,,
10718,DRB동일,004840,미공개,미공개,미공개,B,2016,,,,
10717,DRB동일,004840,미공개,미공개,미공개,B,2017,,,,
10716,DRB동일,004840,미공개,미공개,미공개,C,2018,,,,
10715,DRB동일,004840,B,B,B,B+,2019,,,,
10714,DRB동일,004840,B,B,B,B,2020,,,사회 등급조정(2021.4),
10713,DRB동일,004840,B+,B,B+,B+,2021,,,사회 등급조정(2021.10),
10712,DRB동일,004840,C,D,B+,B,2022,,,,
10711,DRB동일,004840,B+,B,A,B+,2023,,,,
10710,DRB동일,004840,B+,B+,A,B+,2024,,,,
10709,DSR,155660,미공개,미공개,미공개,C,2015,,,,
10708,DSR,155660,미공개,미공개,미공개,C,2016,,,,
10707,DSR,155660,미공개,미공개,미공개,C,2017,,,,
10706,DSR,155660,미공개,미공개,미공개,C,2018,,,,
10705,DSR,155660,미공개,B,B,C,2019,,,,
10704,DSR,155660,C,B,B,C,2020,,,,
10703,DSR,155660,B,B,B,B,2021,,,,
10702,DSR,155660,D,D,C,D,2022,,,,
10701,DSR,155660,D,C,C,D,2023,,,,
10700,DSR,155660,C,C,C,C,2024,,,,
10699,DSR제강,069730,미공개,미공개,미공개,미공개,2012,,,,
10698,DSR제강,069730,미공개,미공개,미공개,C,2013,,,,
10697,DSR제강,069730,미공개,미공개,미공개,C,2014,,,,
10696,DSR제강,069730,미공개,미공개,미공개,C,2015,,,,
10695,DSR제강,069730,미공개,미공개,미공개,C,2016,,,,
10694,DSR제강,069730,미공개,미공개,미공개,B,2017,,,,
10693,DSR제강,069730,미공개,미공개,미공개,C,2018,,,,
10692,DSR제강,069730,미공개,미공개,B,C,2019,,,,
10691,DSR제강,069730,C,C,B,C,2020,,,,
10690,DSR제강,069730,C,C,C,B+,2021,,,,
10689,DSR제강,069730,C,D,C,B,2022,,,,
10688,DSR제강,069730,C,C,C,B,2023,,,,
10687,DSR제강,069730,C,D,D,B,2024,,,,
10686,E1,017940,미공개,미공개,B+,미공개,2012,,,,
10685,E1,017940,미공개,미공개,미공개,B,2013,,,,
10684,E1,017940,미공개,미공개,미공개,B+,2014,,,,
10683,E1,017940,미공개,미공개,B+,B,2015,,,,
10682,E1,017940,B+,미공개,B+,B+,2016,,,,
10681,E1,017940,미공개,미공개,B+,B+,2017,,,,
10680,E1,017940,미공개,미공개,B+,B,2018,,,,
10679,E1,017940,B,미공개,B+,B,2019,,,,
10678,E1,017940,B,C,A,B+,2020,,,,
10677,E1,017940,B+,B+,A,B+,2021,,,,
10676,E1,017940,B+,B+,B+,B+,2022,,,,
10675,E1,017940,A,A,A,B+,2023,,,,
10674,E1,017940,A,A,A+,B+,2024,,,,
10673,F&F,007700,미공개,미공개,미공개,미공개,2012,,,,
10672,F&F,007700,미공개,미공개,미공개,B,2013,,,,
10671,F&F,007700,미공개,미공개,미공개,B,2014,,,,
10670,F&F,007700,미공개,미공개,미공개,B,2015,,,,
10669,F&F,007700,미공개,미공개,미공개,B,2016,,,,
10668,F&F,007700,미공개,미공개,미공개,B,2017,,,,
10667,F&F,007700,미공개,미공개,미공개,C,2018,,,,
10666,F&F,007700,미공개,미공개,미공개,B,2019,,,,
10665,F&F,007700,D,D,C,C,2020,,,,
10664,F&F,383220,B+,B+,A+,B,2023,,,,
10663,F&F,383220,A,A+,A+,B,2024,,,,
10662,F&F 홀딩스,007700,B+,B+,A,B+,2021,,,,
10661,F&F 홀딩스,007700,B,B,B+,B,2022,,,,
10660,F&F 홀딩스,007700,A,B+,A+,B+,2023,,,,
10659,F&F 홀딩스,007700,A,A+,A+,A,2024,,,,
10658,GKL,114090,미공개,미공개,B+,B+,2012,,,,
10657,GKL,114090,미공개,미공개,B+,B+,2013,,,,
10656,GKL,114090,미공개,미공개,미공개,B,2014,,,,
10655,GKL,114090,미공개,미공개,B+,B+,2015,,,,
10654,GKL,114090,미공개,미공개,B+,B,2016,,,,
10653,GKL,114090,미공개,미공개,미공개,B+,2017,,,,
10652,GKL,114090,미공개,미공개,B+,B,2018,,,,
10651,GKL,114090,B,미공개,B+,B,2019,,,,
10650,GKL,114090,B+,C,A,A,2020,,,,
10649,GKL,114090,B+,B+,B+,B+,2021,,,,
10648,GKL,114090,A,B,A,A,2022,,,,
10647,GKL,114090,B+,B,A,B+,2023,,,,
10646,GKL,114090,A,A+,A,A,2024,,,,
10645,GS,078930,미공개,미공개,미공개,B+,2012,,,,
10644,GS,078930,미공개,미공개,미공개,B+,2013,,,,
10643,GS,078930,미공개,미공개,미공개,B+,2014,,,,
10642,GS,078930,미공개,미공개,미공개,B,2015,,,,
10641,GS,078930,미공개,미공개,미공개,B,2016,,,,
10640,GS,078930,미공개,미공개,미공개,B+,2017,,,,
10639,GS,078930,미공개,미공개,미공개,B+,2018,,,,
10638,GS,078930,B,미공개,B+,B+,2019,,,,
10637,GS,078930,B+,C,A,A,2020,,,,
10636,GS,078930,A,A,A,A,2021,,,,
10635,GS,078930,A,B+,A+,A,2022,,,,
10634,GS,078930,B,B+,A+,C,2023,,,,
10633,GS,078930,B+,B+,A,B+,2024,,,,
10632,GS건설,006360,A,A,A,A,2012,,,,
10631,GS건설,006360,A,A,A,A,2013,,,,
10630,GS건설,006360,A,A,A,B+,2014,,,,
10629,GS건설,006360,B+,A,A,B,2015,,,,
10628,GS건설,006360,B+,A,B+,B+,2016,,,사회 등급조정(2017.2),
10627,GS건설,006360,A,A,A,B+,2017,,,,
10626,GS건설,006360,B+,A,B+,B+,2018,,,,
10625,GS건설,006360,A,B+,A,A,2019,,,,
10624,GS건설,006360,A,A,B+,A,2020,,,사회 등급조정(2020.10),
10623,GS건설,006360,A,A,A+,A,2021,,,,
10622,GS건설,006360,A,A,A,A,2022,,,사회 등급조정(2022.11),
10621,GS건설,006360,A,A,B+,A,2023,,,사회 등급조정(2023.10.),
10620,GS건설,006360,A,A,A+,B+,2024,,,,
10619,GS글로벌,001250,미공개,미공개,미공개,미공개,2012,,,,
10618,GS글로벌,001250,미공개,미공개,미공개,B,2013,,,,
10617,GS글로벌,001250,미공개,미공개,미공개,B,2014,,,,
10616,GS글로벌,001250,미공개,미공개,미공개,B,2015,,,,
10615,GS글로벌,001250,미공개,미공개,미공개,B,2016,,,,
10614,GS글로벌,001250,미공개,미공개,미공개,B+,2017,,,,
10613,GS글로벌,001250,미공개,미공개,미공개,B+,2018,,,,
10612,GS글로벌,001250,B,미공개,B+,B+,2019,,,,
10611,GS글로벌,001250,B,D,B+,B+,2020,,,,
10610,GS글로벌,001250,B+,B,B+,A,2021,,,,
10609,GS글로벌,001250,B+,C,B+,B+,2022,,,,
10608,GS글로벌,001250,B+,B+,B+,B+,2023,,,,
10607,GS글로벌,001250,B+,B+,A,B+,2024,,,,
10606,GS리테일,007070,미공개,미공개,미공개,B,2013,,,,
10605,GS리테일,007070,B+,B+,미공개,B+,2014,,,,
10604,GS리테일,007070,미공개,미공개,미공개,B,2015,,,사회 등급조정(2016.5),
10603,GS리테일,007070,미공개,미공개,미공개,B,2016,,,사회 등급조정(2016.8),
10602,GS리테일,007070,B+,미공개,B+,B+,2017,,,,
10601,GS리테일,007070,미공개,미공개,B+,B+,2018,,,,
10600,GS리테일,007070,B,미공개,A,B,2019,,,,
10599,GS리테일,007070,B,C,B,B+,2020,,,사회 등급조정(2021.7),
10598,GS리테일,007070,A,A,A,A,2021,,,사회 등급조정(2021.10),
10597,GS리테일,007070,A,B+,A,A,2022,,,사회 등급조정(2023.),
10596,GS리테일,007070,A,A+,A,A,2023,통합 등급조정(2023.10.),,사회 등급조정(2023.10.),
10595,GS리테일,007070,A+,A+,A+,A,2024,,,,
10594,GS홈쇼핑,028150,B+,미공개,A,A,2019,,,,
10593,GS홈쇼핑,028150,A,B+,A,A,2020,,,,
10592,HDC,012630,B+,미공개,B+,B+,2018,,,,
10591,HDC,012630,B,미공개,B+,B+,2019,,,,
10590,HDC,012630,B+,C,B+,B+,2020,,,,
10589,HDC,012630,B+,B,B+,A,2021,,,,
10588,HDC,012630,C,D,B,C,2022,,,,
10587,HDC,012630,B+,B+,A,B,2023,,,,
10586,HDC,012630,C,A,A+,D,2024,,,,
10585,HDC랩스,039570,D,D,D,D,2022,,,,
10584,HDC랩스,039570,D,D,D,C,2023,,,,
10583,HDC랩스,039570,B,C,A,B,2024,,,,
10582,HDC아이콘트롤스,039570,미공개,미공개,미공개,C,2018,,,,
10581,HDC아이콘트롤스,039570,미공개,미공개,B,B,2019,,,,
10580,HDC아이콘트롤스,039570,C,D,C,B,2020,,,,
10579,HDC아이콘트롤스,039570,B,C,B,B+,2021,,,,
10578,HDC현대EP,089470,미공개,B+,미공개,C,2018,,,,
10577,HDC현대EP,089470,B,B,B,B,2019,,,,
10576,HDC현대EP,089470,B,B,B+,B,2020,,,,
10575,HDC현대EP,089470,B+,B,B+,B+,2021,,,,
10574,HDC현대EP,089470,C,C,B,C,2022,,,,
10573,HDC현대EP,089470,B+,B+,B+,B,2023,,,,
10572,HDC현대EP,089470,B+,B+,A,B+,2024,,,,
10571,HDC현대산업개발,294870,C,C,C,B+,2020,통합 등급조정(2021.7),,사회 등급조정(2021.7),
10570,HDC현대산업개발,294870,B,B,C,B+,2021,통합 등급조정(2021.10),,"사회 등급조정(2021.10, 2022.04)",
10569,HDC현대산업개발,294870,C,D,C,B,2022,,,사회 등급조정(2022.11),
10568,HDC현대산업개발,294870,B+,B+,A,B,2023,,,,
10567,HDC현대산업개발,294870,A,A,A+,A,2024,,,,
10566,HD한국조선해양,009540,A,A,A+,A,2023,,,,
10565,HD한국조선해양,009540,A,A,A+,A,2024,,,,
10564,HD현대,267250,A,B+,A,A,2022,,,,
10563,HD현대,267250,A,B+,A+,B+,2023,,환경 등급조정(2023.10.),,
10562,HD현대,267250,A,B+,A+,A,2024,,,,
10561,HD현대건설기계,267270,A+,A+,A+,A,2023,,,,
10560,HD현대건설기계,267270,A,A,A+,A,2024,,,,
