Ticker,Name,거래소업종,회계년,자기자본비율,차입금의존도,매출액증가율,영업이익률,총자본회전율,부채상환능력,당좌비율,ROA당기순이익,ESG등급_A,ESG등급_A+,ESG등급_B,ESG등급_B+,ESG등급_C,환경_A,환경_A+,환경_B,환경_B+,환경_C,사회_A,사회_A+,사회_B,사회_B+,사회_C,지배구조_A,지배구조_A+,지배구조_B,지배구조_B+,지배구조_C,log_당좌비율
A001130,대한제분,코스피 음식료·담배,2020,90.13,4.06,-2.018656317055534,4.96,48.0,26.7365141202291,300.86199554908933,0.79,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5.709969944552501
A001230,동국홀딩스,코스피 금융,2020,45.01,32.8,-8.738225429577318,5.39,200.0,19.51193614655853,33.771755014911946,0.36,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.5488054197218486
A001260,남광토건,코스피 건설,2020,32.52,5.58,0.7544450450343243,6.39,399.0,27.7321236653197,97.38655995998572,6.77,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.588904208957019
A001340,백광산업,코스피 화학,2020,54.98,29.75,1.4778829021077078,7.44,99.0,14.982047272832204,46.190243245345286,3.16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.8541871603201647
A001380,SG글로벌,코스피 운송장비·부품,2020,66.04,20.59,-6.783186479652659,5.55,66.0,-1.9956653644994984,138.59223478183736,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.938725564009219
A001390,KG케미칼,코스피 화학,2020,56.68,32.02,-6.421110924482953,5.47,84.0,10.412029574487528,23.32562163248484,-3.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.1915301830378233
A001440,대한전선,코스피 전기·전자,2020,32.05,49.12,3.824323569720023,3.55,411.00000000000006,0.9227531717664572,60.92137436198461,2.07,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4.125865424803634
A001460,BYC,코스피 섬유·의류,2020,67.03,14.75,-5.134202791196929,14.03,37.0,16.009031293200582,70.8477703923419,2.65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.274549580621724
A001520,동양,코스피 비금속,2020,85.58,3.16,15.691126361788266,0.48,55.00000000000001,12.35127747232776,182.014183644412,-1.95,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.209563656091584
A001530,DI동일,코스피 유통,2020,64.93,22.26,-10.219466787851315,0.38,60.0,6.801803042084699,58.15212616615465,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.080112535106436
A001550,조비,코스피 화학,2020,58.28,18.1,3.889019429154738,5.18,149.0,22.33911753825453,37.91960427009501,3.35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.6614980894884916
A001570,금양,코스피 화학,2020,28.96,52.71,-11.026466439780249,3.28,297.0,5.601170970576913,63.44801309977566,-2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.165858900357243
A001620,케이비아이동국실업,코스피 운송장비·부품,2020,40.26,28.47,-6.789465949239948,-2.39,208.0,6.515445518244248,51.10253854835632,0.16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.9532136721089093
A001680,대상,코스피 음식료·담배,2020,46.17,32.43,6.0180646582493225,5.2,251.0,8.860903280657766,124.3690070337856,5.08,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.831261444810899
A001770,SHD,코스피 금속,2020,53.9,21.34,4.337735443507351,0.24,225.0,8.905638909314773,132.1399308915211,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.891400687106185
A001780,알루코,코스피 금속,2020,50.73,40.58,4.557764645762852,0.11,116.0,5.620896336834741,130.64571563964833,-6.87,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.880114341847618
A001790,대한제당,코스피 음식료·담배,2020,47.57,38.84,0.288088688322019,3.28,237.0,10.863235283458309,101.38265728502368,1.71,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,4.628717335811027
A002100,경농,코스피 화학,2020,65.95,15.69,9.457566889419413,7.16,85.0,8.382061305382527,44.51730049795265,3.51,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3.8180924844117556
A002140,고려산업,코스피 음식료·담배,2020,46.87,38.89,-1.2066941731590397,4.07,202.0,-4.974313352998134,50.82647703598142,2.99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.9479011583688037
A002150,도화엔지니어링,코스피 일반서비스,2020,60.53,0.42,18.35541019179168,4.5,236.0,19.945883619638487,118.75037075672046,5.24,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4.785409332375755
A002200,한국수출포장,코스피 종이·목재,2020,81.7,0.17,-2.684933987556859,3.99,106.0,44.339007797042,215.67526740436352,2.63,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5.378399769146166
A002240,고려제강,코스피 금속,2020,80.65,6.71,-11.821778367624846,6.52,40.0,34.956329330489524,81.32729747822219,0.85,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.410702735291452
A002350,넥센타이어,코스피 화학,2020,58.84,22.74,-25.438822502692982,3.43,77.0,16.18604355268946,195.0090439028252,1.08,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5.278160800527345
A002380,KCC,코스피 화학,2020,57.34,29.02,-2.767606461489791,4.66,44.0,11.323860164567408,78.61612835295078,7.86,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4.377216689825566
A002390,한독,코스피 제약,2020,47.38,29.3,6.609373061534307,6.14,133.0,5.789935622234372,107.14305532926464,1.13,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.683454937015664
A002450,삼익악기,코스피 제조,2020,48.33,44.54,-15.120085262440972,7.09,61.0,0.8802920466388892,40.81209411106852,1.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.73318563048273
A002600,조흥,코스피 음식료·담배,2020,53.65,37.11,14.119406140448753,5.3,169.0,-4.711464449825864,70.76056438366129,3.22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.273335082597836
A002700,신일전자,코스피 유통,2020,68.05,10.52,18.20094079418011,3.62,238.0,33.74875427763482,134.77528791360498,7.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.911001224438675
A002710,TCC스틸,코스피 금속,2020,37.61,50.59,-4.685425165470036,0.75,330.0,-0.6129265969185002,50.6457287446058,-1.2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.9444074960107183
A002720,국제약품,코스피 제약,2020,48.21,26.29,16.37883683823396,4.9,196.0,6.479914332742187,50.03800253621651,1.76,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.9325705030085145
A002760,보락,코스피 화학,2020,81.32,6.37,6.004051693328449,0.38,87.0,20.08366645540471,176.44377188728285,0.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.178653780630874
A002780,진흥기업,코스피 건설,2020,42.01,0.74,-30.97462371497094,3.89,349.0,25.122469116956463,146.2347304831586,6.7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4.992028119247454
A002880,대유에이텍,코스피 운송장비·부품,2020,29.09,28.47,-1.3717630486679622,-1.5,325.0,5.631137999249427,45.65722466469074,-0.09,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.8428277848562296
A002900,TYM,코스피 기계·장비,2020,38.81,31.49,6.688734624343007,3.74,247.00000000000003,9.571972397099698,78.94398025277582,1.49,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4.381326142546246
A002920,유성기업,코스피 운송장비·부품,2020,67.15,0.01,-6.974391909106825,-5.97,115.0,18.32551153815972,178.15322647222166,-2.13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5.188241453481177
A003000,부광약품,코스피 제약,2020,73.95,5.36,0.0911325247352046,5.11,52.0,2.80966936599377,243.91982478682897,-1.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.5009309112201015
A003010,혜인,코스피 유통,2020,49.39,26.59,-16.324262954456582,4.22,216.0,18.553071851286568,62.624080410797234,2.55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.152992021497824
A003080,성보화학,코스피 화학,2020,85.86,1.45,23.628015745743337,-6.98,37.0,-0.750068515437905,312.1803845820588,-3.55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.746779333107024
A003200,일신방직,코스피 섬유·의류,2020,83.88,3.94,-8.415740950225326,-0.11,61.0,34.89467735656328,251.36544248188616,-1.04,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.530878205611342
A003220,대원제약,코스피 제약,2020,63.46,15.8,-2.8386542068948417,8.25,148.0,21.534309681282707,94.64553057734685,5.33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.560648967950272
A003350,한국화장품제조,코스피 화학,2020,57.01,30.22,-18.958453985282382,-3.51,134.0,-20.17848783927294,164.60805276939274,-4.97,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.109623868603362
A003490,대한항공,코스피 운송·창고,2020,13.62,61.68,-38.38273420582672,3.22,239.0,6.738671623739324,40.57389346799392,-0.77,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.727472409402943
A003520,영진약품,코스피 제약,2020,60.84,3.87,-5.465651797798876,0.18,181.0,19.679403589833274,156.73204249819636,-0.07,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.060897659747921
A003570,SNT다이내믹스,코스피 운송장비·부품,2020,72.91,0.01,-22.993225902231963,6.4,38.0,22.76836971895269,255.9946766381388,1.09,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5.549055371210416
A003670,포스코퓨처엠,코스피 전기·전자,2020,48.19,41.65,6.248730422109894,3.97,161.0,2.753555986597013,291.2277159333404,3.09,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.6775333474307645
A003720,삼영,코스피 화학,2020,58.4,15.17,5.95916950916715,0.43,221.0,24.26149838465309,139.40868184501656,0.27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.94455732618288
A003780,진양산업,코스피 화학,2020,66.79,12.89,-0.7668418768812857,7.12,130.0,28.105985106121185,110.93299909299007,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.717900469904673
A003850,보령,코스피 제약,2020,53.57,29.69,3.276326143372943,7.45,172.0,15.020023596540982,186.4292505609689,4.69,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.23340144386196
A003920,남양유업,코스피 음식료·담배,2020,81.22,10.9,-8.078312184005643,-7.68,106.0,-26.716930877020484,270.7578358425528,-4.51,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5.60491136033281
A004020,현대제철,코스피 금속,2020,50.54,37.17,-13.864401371550784,0.27,93.0,9.104301218957136,80.81540658351358,-1.41,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4.404465570415826
A004080,신흥,코스피 유통,2020,65.44,6.76,-4.969577052274299,2.65,136.0,32.408523387686444,84.6371129760486,6.12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.450118751990807
A004090,한국석유,코스피 비금속,2020,56.64,23.41,-3.59932622021808,4.9,166.0,11.58946807790001,94.1934736677522,2.21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,4.555911385537227
A004170,신세계,코스피 유통,2020,47.86,31.39,-6.27917708546698,8.69,40.0,6.8214570488703625,21.09658149339224,2.89,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3.09542291300206
A004270,남성,코스피 유통,2020,55.84,25.65,15.786561949004806,3.74,69.0,0.0923789168570788,84.01774651843677,-5.55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.442860017268114
A004310,현대약품,코스피 제약,2020,57.23,15.63,-1.2508190862686508,2.3,153.0,16.039451965843934,121.98873387013454,1.44,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.812092756625629
A004360,세방,코스피 운송·창고,2020,70.97,12.21,1.1403228779475638,2.19,104.0,18.492734846103804,120.59227191559336,1.25,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4.800673414186756
A004370,농심,코스피 음식료·담배,2020,79.49,0.5,10.495184686385084,4.29,108.0,35.905644564926334,122.22894034360009,3.72,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4.814043928899833
A004380,삼익THK,코스피 기계·장비,2020,49.01,38.96,13.727180170612296,2.17,139.0,16.540271078141785,67.50980510862918,1.14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4.226976875296547
A004410,서울식품,코스피 음식료·담배,2020,37.95,41.68,-0.936425431637078,1.21,231.0,13.283260045919992,55.90144167066552,-3.31,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.041320677729861
A004430,송원산업,코스피 화학,2020,55.91,26.77,-5.202202275848533,6.48,140.0,16.909572198032397,64.41501733867702,2.02,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.180751855019397
A004440,삼일씨엔에스,코스피 비금속,2020,84.98,0.85,-4.827238389984167,-0.14,67.0,22.73689499716858,259.3592296252499,-0.31,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5.562062329816916
A004450,삼화왕관,코스피 금속,2020,62.84,27.49,-3.418328988090136,9.73,74.0,14.058254417555574,137.37943289314936,-1.41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.929999425877193
A004490,세방전지,코스피 전기·전자,2020,82.37,7.55,-4.672412668176696,8.02,100.0,61.51974794485865,309.1247537778912,4.61,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5.736974648066922
A004540,깨끗한나라,코스피 종이·목재,2020,37.9,38.13,-0.6017871845002465,8.56,325.0,17.67433462628811,39.74132138913558,6.68,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3.7072428449593526
A004560,현대비앤지스틸,코스피 금속,2020,66.35,17.94,-7.209948804071386,4.86,164.0,23.950247740083068,225.178854550862,3.74,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5.421326078104873
A004690,삼천리,코스피 전기·가스,2020,46.17,18.17,-5.643653368929691,2.3,185.0,5.059886995123487,169.9782467048127,1.2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5.141536336157937
A004710,한솔테크닉스,코스피 전기·전자,2020,54.1,24.23,14.009393301037033,3.3,300.0,23.0232305300774,124.77161714605418,4.41,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4.83446769993978
A004720,팜젠사이언스,코스피 제약,2020,59.13,16.85,1.552110654492167,-0.53,146.0,5.46905900508738,154.9484964516539,-2.04,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.049525801786777
A004830,덕성,코스피 화학,2020,62.85,26.39,28.805787842309183,3.49,172.0,8.35823025494344,146.68209461333865,3.08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.995061954113726
