조사년도,학교명,시도명,지역명,학제유형명,고등교육학교_입학생수,6학년재적학생수,5학년재적학생수,4학년재적학생수,3학년재적학생수,2학년재적학생수,1학년재적학생수
2009,영산선학대학교,전남,전남 영광군,대학,3,0,0,19,18,2,12
2009,서울대학교,서울,서울 관악구,대학,3387,0,31,7845,5409,4936,3866
2009,동신대학교,전남,전남 나주시,대학,1706,0,5,1572,1772,2250,3612
2009,상명대학교,서울,서울 종로구,대학,1602,0,0,2277,2216,2472,1854
2009,상명대학교,충남,충남 천안시,대학,1597,0,0,1858,2227,2542,1912
2009,총신대학교,서울,서울 동작구,대학,390,0,0,519,503,559,527
2009,대신대학교,경북,경북 경산시,대학,119,0,0,193,196,177,156
2009,계명대학교,대구,대구 달서구,대학,5547,0,20,7204,7403,9066,10283
2009,충북대학교,충북,충북 청주시,대학,3384,0,28,5239,4899,6792,3918
2009,강남대학교,경기,경기 용인시,대학,1875,0,0,2524,2360,2705,2681
2009,공주교육대학교,충남,충남 공주시,교육대학,534,0,0,563,534,519,557
2009,울산과학기술대학교,울산,울산 울주군,대학,499,0,0,0,0,0,497
2009,포항공과대학교,경북,경북 포항시,대학,305,0,0,575,386,394,317
2009,강릉원주대학교,강원,강원 강릉시,대학,1582,0,0,1929,1953,3130,1895
2009,강릉원주대학교,강원,강원 원주시,대학,584,0,0,0,649,921,645
2009,서울기독대학교,서울,서울 은평구,대학,185,0,0,134,230,237,210
2009,청운대학교,충남,충남 홍성군,산업대학,1692,0,0,1448,1406,2145,3472
2009,서울장신대학교,경기,경기 광주시,대학,137,0,0,137,145,194,197
2009,극동대학교,충북,충북 음성군,대학,1198,0,0,902,1228,1952,1851
2009,창원대학교,경남,경남 창원시,대학,2014,0,21,3407,2787,4406,2252
2009,숭실대학교,서울,서울 동작구,대학,2976,0,29,5071,4686,5558,3566
2009,영남대학교,경북,경북 경산시,대학,5334,0,47,9456,7338,9255,9050
2009,영남대학교,대구,대구 남구,대학,40,0,0,78,86,120,98
2009,인하대학교,인천,인천 남구,대학,4078,0,60,7686,7034,8504,4883
2009,건국대학교,서울,서울 광진구,대학,3344,0,0,5603,5315,5653,5681
2009,건국대학교,충북,충북 충주시,대학,1913,0,0,2705,2700,3754,2538
2009,중앙승가대학교,경기,경기 김포시,대학,52,0,0,75,96,67,54
2009,경성대학교,부산,부산 남구,대학,3418,0,0,4168,3964,5068,5933
2009,경남대학교,경남,경남 마산시,대학,3515,0,24,4736,3933,7361,4665
2009,성균관대학교,경기,경기 수원시,대학,1922,0,57,3428,3299,3118,2186
2009,성균관대학교,서울,서울 종로구,대학,2299,0,0,5833,3849,3560,2554
2009,호남신학대학교,광주,광주 남구,대학,151,0,0,243,209,183,195
2009,우석대학교,전북,전북 완주군,대학,2019,0,0,2236,2552,3374,2938
2009,경주대학교,경북,경북 경주시,대학,1361,0,8,1359,1385,2396,1948
2009,예수대학교,전북,전북 전주시,대학,138,0,0,153,139,135,142
2009,선문대학교,충남,충남 아산시,대학,2618,0,31,2355,2804,5628,3180
2009,제주교육대학교,제주,제주 제주시,교육대학,0,0,0,166,153,141,7
2009,가야대학교,경남,경남 김해시,대학,616,0,0,649,583,707,1051
2009,가야대학교,경북,경북 고령군,대학,38,0,0,51,55,3,40
2009,성결대학교,경기,경기 안양시,대학,1432,0,0,1750,1680,2145,2014
2009,경북대학교,경북,경북 상주시,대학,1132,0,0,0,0,0,1125
2009,경북대학교,대구,대구 북구,대학,4281,0,38,5729,5657,7980,8865
2009,한국산업기술대학교,경기,경기 시흥시,산업대학,1527,0,0,1943,1894,2401,3428
2009,한국교원대학교,충북,충북 청원군,대학,618,0,0,586,753,687,647
2009,한밭대학교,대전,대전 유성구,산업대학,1906,0,15,3036,3653,3468,3547
2009,경기대학교,경기,경기 수원시,대학,2857,0,78,3920,4039,4515,4750
2009,경기대학교,서울,서울 서대문구,대학,601,0,0,684,742,763,959
2009,경북외국어대학교,대구,대구 북구,대학,98,0,0,139,90,115,123
2009,가천대학교,경기,경기 성남시,대학,3555,0,31,3141,4041,5065,4121
2009,조선대학교,광주,광주 동구,대학,5122,0,21,7060,6984,10468,6382
2009,한세대학교,경기,경기 군포시,대학,691,0,0,938,820,1037,793
2009,협성대학교,경기,경기 화성시,대학,1181,0,0,1428,1429,1917,1378
2009,금오공과대학교,경북,경북 구미시,대학,1455,0,23,2416,2129,3960,1875
2009,루터대학교,경기,경기 용인시,대학,147,0,0,42,121,170,167
2009,한신대학교,경기,경기 오산시,대학,1381,0,0,1689,1864,2396,1855
2009,서원대학교,충북,충북 청주시,대학,1860,0,6,1841,2030,3275,2262
2009,용인대학교,경기,경기 용인시,대학,1635,0,0,1926,1977,2310,2717
2009,칼빈대학교,경기,경기 용인시,대학,116,0,0,118,151,181,166
2009,부산장신대학교,경남,경남 김해시,대학,66,0,0,81,93,105,78
2009,아주대학교,경기,경기 수원시,대학,2252,0,58,3838,3348,4496,2532
2009,제주국제대학교,제주,제주 서귀포시,대학,120,0,0,169,230,318,233
2009,전주대학교,전북,전북 전주시,대학,3007,0,12,3370,3205,4361,4980
2009,서경대학교,서울,서울 성북구,대학,1617,0,0,2106,1960,2298,2587
