학교_식별자,소재지지번주소,개방ID,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,2037_해당지역예측학생수,2038_해당지역예측학생수,2039_해당지역예측학생수,2024년_예측_학생수,2025년_예측_학생수,2026년_예측_학생수,2027년_예측_학생수,2028년_예측_학생수,2029년_예측_학생수,2030년_예측_학생수,2031년_예측_학생수,2032년_예측_학생수,2033년_예측_학생수,2034년_예측_학생수,2035년_예측_학생수,2036년_예측_학생수,2037년_예측_학생수,2038년_예측_학생수,2039년_예측_학생수
사상고등학교 (부산),부산광역시 사상구 덕포동 150-1,7781723022,35.16888033,128.9855372,부산광역시 사상구,467,713,722,730,734,726,703,693,657,607,538,493,453,421,424,11004.0,10927.0,10906.0,10151.0,8965.0,7930.0,7222.0,6686.0,6539.0,6613.0,6371.0,6259.0,6287.0,6697.0,6551.0,6369.0,6055.0,5697.0,5120.0,4364.0,3697.0,3083.0,2603.0,2277.0,2136.0,415.9261603825244,401.44238472851674,394.7391497150917,396.41495846844794,420.9535866425932,412.2154410000927,401.322684103277,382.5296859406389,361.10327402272674,326.56964364106375,281.3228073004447,241.40264878299374,204.65455683439572,175.9264067768598,156.41520486278333,147.97631078338216
사직고등학교 (부산),부산광역시 동래구 사직동 632-8,9168337106,35.20362214,129.0559786,부산광역시 동래구,1359,1252,1132,1101,1095,1038,1006,986,953,875,791,741,710,701,726,9063.0,8756.0,8263.0,7412.0,6520.0,6002.0,5603.0,5391.0,5491.0,5849.0,5939.0,5899.0,5930.0,6173.0,5937.0,5699.0,5421.0,5383.0,5028.0,4492.0,4046.0,3858.0,3777.0,3757.0,3548.0,739.2202949906018,746.851284955877,743.4597338601991,746.0881859593494,766.6918588655923,746.681707401093,726.5019783818101,702.9306982668493,699.7087247259553,669.6087087518147,624.1619240697319,586.3461293529242,570.4058392032384,563.5379482344908,561.8421726866519,544.1213182117353
사직여자고등학교 (부산),부산광역시 동래구 사직동 981-1,4362738549,35.1968431,129.0514472,부산광역시 동래구,1130,1136,1136,1112,1074,1018,974,913,815,709,631,592,597,580,601,9063.0,8756.0,8263.0,7412.0,6520.0,6002.0,5603.0,5391.0,5491.0,5849.0,5939.0,5899.0,5930.0,6173.0,5937.0,5699.0,5421.0,5383.0,5028.0,4492.0,4046.0,3858.0,3777.0,3757.0,3548.0,602.2716312345422,611.322339013449,607.2998022228237,610.4172682355583,634.8541792386065,611.1212121739177,587.1871182696975,559.2304875748521,555.4090776237582,519.7090636069593,465.807070612581,420.95578539710965,402.04986248117103,393.90422548015493,391.89295708484235,370.87520235382544
사천여자고등학교 (경남),경상남도 사천시 정동면 고읍리 438-37,3034054815,35.080453,128.0883888,사천시,272,277,269,265,278,265,291,279,260,230,202,161,135,114,138,4737.0,4615.0,4461.0,4189.0,3785.0,3472.0,3236.0,3050.0,3154.0,3335.0,3418.0,3375.0,3334.0,3393.0,3290.0,3216.0,3023.0,2863.0,2577.0,2219.0,1845.0,1630.0,1482.0,1443.0,1319.0,148.5396889298252,156.9237308532711,152.58019106160637,148.4386763765307,154.39841702090789,143.99412403157143,136.5191950877763,117.02377230193221,100.8617637748076,71.97217353257233,35.809679453131025,-1.9690154790227723,-23.686714437346467,-38.636572324936736,-42.57606190342338,-55.10161851194496
산본고등학교 (경기),경기도 군포시 산본동 1090,3627575635,37.37078146,126.925841,군포시,1781,1800,1842,1813,1697,1581,1475,1493,1416,1307,1167,1109,1099,1051,1082,14307.0,14271.0,13543.0,12392.0,11501.0,10912.0,10637.0,10300.0,10339.0,10558.0,10285.0,10171.0,10334.0,10774.0,10442.0,10070.0,9605.0,9333.0,8344.0,7234.0,6332.0,5748.0,5196.0,4741.0,4457.0,1086.3042773124964,1056.8446877341053,1044.542881096975,1062.1323063763807,1109.6129635723225,1073.7866495062935,1033.6439120588157,983.4654902494678,954.113811255613,847.3902431492801,727.6094943140631,630.2741470623824,567.2543656932232,507.68772302922343,458.58840706523813,427.9418010569484
산서고등학교 (전북),전북특별자치도 장수군 산서면 동화리 73,6771163761,35.58388638,127.3990162,장수군,83,71,57,58,56,62,52,47,37,28,22,19,24,31,28,776.0,773.0,731.0,663.0,585.0,533.0,547.0,523.0,542.0,564.0,564.0,551.0,532.0,536.0,512.0,462.0,428.0,392.0,352.0,311.0,281.0,278.0,263.0,232.0,202.0,25.941599499466342,25.941599499466342,24.754274778256224,23.018954031872212,23.384284715321478,21.192300614625886,16.625667071510065,13.520356262191306,10.232380111147918,6.579073276655258,2.8344337713002865,0.09445364543079293,-0.1795443671561543,-1.549534430090901,-4.380847226822713,-7.120827352692203
살레시오고등학교 (광주),광주광역시 북구 일곡동 482,2447532415,35.21688754,126.8920601,광주광역시 북구,1086,1075,1071,1049,1036,1023,994,965,914,837,779,734,701,673,728,22574.0,22278.0,21016.0,19085.0,16593.0,15078.0,13876.0,13092.0,13407.0,13841.0,13920.0,13307.0,12755.0,12333.0,11505.0,11158.0,11037.0,10985.0,10313.0,9268.0,8369.0,7554.0,7266.0,6956.0,6592.0,704.3242482103599,706.7263592039594,688.0871941523576,671.3028236654341,658.4712940540539,633.2947383236685,622.7436938327944,619.0645111717115,617.4833748214942,597.050228141761,565.2754687960451,537.9400538182474,513.1587821754164,504.40171931267355,494.9757141479157,483.90775969639367
살레시오여자고등학교 (광주),광주광역시 동구 지산동 480,3725836217,35.146975,126.9298381,광주광역시 동구,1124,1129,1082,1063,1055,1024,1001,961,878,768,672,607,578,546,565,4326.0,3930.0,3451.0,2964.0,2579.0,2418.0,2291.0,2123.0,2097.0,2097.0,2025.0,1913.0,2029.0,2353.0,2518.0,2578.0,2340.0,2079.0,1762.0,1543.0,1443.0,1412.0,1591.0,1779.0,1827.0,555.7308157463949,540.2150162122673,516.0793280480688,541.0770050752743,610.8981029788484,646.4551435778908,659.3849765229971,608.0966391740754,551.851865862863,483.5392484695512,436.3453582199131,414.79563664473596,408.115222956431,446.6892245759982,487.2027011373313,497.5465674934164
삼가고등학교 (경남),경상남도 합천군 삼가면 일부리 257-1,8047629714,35.41313677,128.1313774,합천군,167,166,170,160,156,147,136,122,106,97,94,87,80,65,77,1707.0,1574.0,1431.0,1239.0,1166.0,1076.0,1011.0,889.0,903.0,944.0,981.0,896.0,847.0,786.0,762.0,685.0,609.0,550.0,466.0,422.0,385.0,369.0,330.0,290.0,241.0,74.96752516107927,77.76905080962351,71.33311350891375,67.62298494732813,63.004253472701144,61.187047646618396,55.356845621269564,49.602360505340855,45.13506284955409,38.77484245826446,35.44329844377941,32.64177279523517,31.430302244513335,28.477342777128865,25.448666400324278,21.73853783873866
삼각산고등학교 (서울),서울특별시 강북구 미아동 812-4,9023528933,37.61628573,127.020133,서울특별시 강북구,0,0,302,617,905,893,882,940,884,779,647,605,588,584,626,13303.0,12177.0,11271.0,10441.0,10074.0,9759.0,9364.0,8700.0,8704.0,8763.0,8773.0,8443.0,8374.0,8408.0,8098.0,7669.0,7015.0,6489.0,5901.0,5081.0,4343.0,3620.0,3270.0,2898.0,2675.0,588.8602414981021,589.6878294831731,562.3774259758278,556.6670688788374,559.480868028079,533.8256404908759,498.32211593132695,444.19786170767895,400.6667336929406,352.0045601707617,284.1423453949339,223.0663520966889,163.23174077605046,134.26616129856302,103.4798882539192,85.02467618683431
