학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수,2031_예측학생수,2032_예측학생수,2033_예측학생수,2034_예측학생수,2035_예측학생수,2036_예측학생수
압해중학교,1970-03-12,본교,전라남도 신안군 압해읍 학교리 663-5,전라남도 신안군 압해읍 구항길 31-5,전라남도교육청,34.86392837,신안군,126.3133306,전남,5771915376,중학교,179,157,137,133,127,103,94,77,77,60,60,53,74,59,65,1108.0,1100.0,1080.0,927.0,848.0,803.0,811.0,811.0,827.0,824.0,830.0,788.0,792.0,794.0,751.0,736.0,689.0,678.0,640.0,621.0,573.0,510.0,454.0,401.0,360.0,0.9337004212385022,60.91599896763735,61.3166502244424,52.70264820313422,49.69776377709651,40.28245924217829,38.0788773297506,30.466503450455022,26.660316510807235,17.04468634748649,4.4241717581280255,-6.794063432412827,-17.41132173774615,-25.62467250224927
송도중학교,1984-12-18,본교,경상북도 포항시 남구 송도동 492-1,경상북도 포항시 남구 축항로72번길 11,경상북도교육청,36.02905539,남구,129.3770876,경북,6283273160,중학교,757,647,523,462,403,400,350,309,239,204,170,176,177,175,179,11071.0,10459.0,9833.0,8934.0,7937.0,7242.0,6798.0,6465.0,6460.0,6576.0,6663.0,6800.0,6939.0,7178.0,7044.0,6803.0,6660.0,6380.0,5828.0,5004.0,4269.0,3731.0,3247.0,2914.0,2708.0,0.9863094192220064,207.4236304990573,222.49673223077855,214.0457044816127,198.84646800736652,189.8278339168387,172.1689699633577,137.3557810264952,85.38826710625113,39.03374922836349,5.1035034891750115,-25.421104201842127,-46.42253883223202,-59.41441731229304
무거중학교,2018-05-25,본교,울산광역시 남구 무거동 996,울산광역시 남구 대학로1번길 17-18,울산광역시교육청,35.53763276,울산광역시 남구,129.2515883,울산,7011144220,중학교,636,1027,1066,1062,1030,992,918,777,648,507,455,415,404,374,368,14805.0,14527.0,13779.0,12730.0,11409.0,10576.0,10019.0,9512.0,9454.0,9362.0,9323.0,9206.0,9362.0,9671.0,9629.0,9638.0,9472.0,9205.0,8425.0,7326.0,6346.0,5638.0,5220.0,4871.0,4539.0,0.9836255278344213,427.80485634971,466.72826598631787,461.4377054531867,462.57139699600043,441.6610863174344,408.02823721395794,309.77497017009387,171.3386362198289,47.8922237801022,-41.291510921251415,-93.94518479860426,-137.90722351438444,-179.72784487151637
화원중학교,1996-05-06,본교,서울특별시 강서구 화곡동 351-94,서울특별시 강서구 강서로17나길 86,서울특별시교육청,37.53621409,서울특별시 강서구,126.842416,서울,2227858424,중학교,1187,1151,1078,951,880,815,777,735,665,612,558,556,531,531,544,20887.0,20586.0,19672.0,18585.0,17125.0,16814.0,16736.0,16655.0,17062.0,17673.0,17814.0,17439.0,17213.0,17348.0,16852.0,16523.0,16460.0,16692.0,16068.0,14516.0,12901.0,11446.0,10192.0,9216.0,8506.0,0.8421708230619054,607.0975961756172,618.2896371778571,577.1692494955536,549.8938310530581,544.670878585346,563.9046083077138,512.1725076751385,383.5054881530922,249.61551616333406,128.99018536141557,25.028560051721,-55.885751194102,-114.7475964651411
만수중학교,1984-03-02,본교,인천광역시 남동구 만수동 48,인천광역시 남동구 인수로 13,인천광역시교육청,37.45480199,인천광역시 남동구,126.7374800416,인천,6645770490,중학교,975,880,753,741,673,644,546,436,370,313,270,268,249,238,186,18454.0,17923.0,17214.0,15863.0,14082.0,12478.0,11318.0,10574.0,11011.0,12272.0,13363.0,13784.0,14222.0,14996.0,15042.0,14764.0,14314.0,14136.0,13254.0,12153.0,10965.0,9946.0,8610.0,7434.0,6433.0,0.8899060156729864,423.31309525797354,471.7735887098889,474.65366971607506,457.24796276564547,429.073257270346,417.9285959855386,362.70617321475146,293.7720604362518,219.39083792866103,155.59078259597158,71.94321250325987,-1.6866845244562683,-64.35975163733372
광평중학교,2008-03-01,본교,경상북도 구미시 광평동 160,경상북도 구미시 화신로10길 11-12,경상북도교육청,36.11651264,구미시,128.3568194,경북,6859008789,중학교,607,835,763,748,720,667,585,535,468,387,276,235,235,250,236,19646.0,19643.0,18862.0,17343.0,15825.0,15043.0,14803.0,14496.0,14818.0,14911.0,14444.0,14001.0,14243.0,15241.0,15255.0,15093.0,14467.0,13963.0,12773.0,11373.0,9978.0,8946.0,7995.0,7305.0,6471.0,0.9345634687360004,276.305341428794,364.5414438350406,365.7792248307194,351.45633045215027,296.1098373596549,251.5497215152177,146.3383368825189,22.56023731463779,-100.7757976119293,-192.01793957911013,-276.0986343570065,-337.1035548583193,-410.83993702947123
상도중학교,1984-12-18,본교,경상북도 포항시 남구 대도동 157-1,경상북도 포항시 남구 상공로92번길 16,경상북도교육청,36.01453645,남구,129.3616232,경북,4035423755,중학교,926,875,704,606,531,498,423,313,270,273,268,258,228,209,190,11071.0,10459.0,9833.0,8934.0,7937.0,7242.0,6798.0,6465.0,6460.0,6576.0,6663.0,6800.0,6939.0,7178.0,7044.0,6803.0,6660.0,6380.0,5828.0,5004.0,4269.0,3731.0,3247.0,2914.0,2708.0,0.9771273403021818,258.9229963432903,278.0893995586155,267.3433826931194,248.01659116636887,236.5488268994588,214.09446329991448,169.82728934652727,103.74730503929709,44.804600590493465,1.6601448170834487,-37.15382654784304,-63.85848040015816,-80.37847647696572
광신중학교,1951-10-10,본교,서울특별시 관악구 신림동 산87-6,서울특별시 관악구 광신길 141,서울특별시교육청,37.4644762,서울특별시 관악구,126.9259406,서울,2551978707,중학교,607,589,570,547,507,474,435,397,384,359,323,298,276,258,244,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0,0.9599857242673759,244.60070055103148,236.22903765250686,215.36964426368309,192.41733515022815,170.23242846913791,150.03579172644731,110.27039295845549,62.2030951494267,16.29847692251684,-19.490381968675848,-50.01206961954679,-71.98768472817386,-86.49856708561651
군포중학교,1982-10-28,본교,경기도 군포시 당동 735,경기도 군포시 금당로124번길 19,경기도교육청,37.35790182,군포시,126.9449292,경기,1837912976,중학교,573,527,529,574,626,673,639,563,459,431,384,383,353,342,314,14307.0,14271.0,13543.0,12392.0,11501.0,10912.0,10637.0,10300.0,10339.0,10558.0,10285.0,10171.0,10334.0,10774.0,10442.0,10070.0,9605.0,9333.0,8344.0,7234.0,6332.0,5748.0,5196.0,4741.0,4457.0,0.8740005304329967,389.34327735903554,420.2682836415377,396.93396071928606,370.7882735895343,338.10616467734457,318.98888806634324,249.47790803590095,171.4625512777705,108.06628839864118,67.0203709691383,28.223544905635663,-3.7557229546790722,-23.716408827930422
광양제철중학교,1985-03-05,본교,전라남도 광양시 금호동 679,전라남도 광양시 마로니에길 69,전라남도교육청,34.94862438,광양시,127.7277236,전남,4140727281,중학교,1572,1564,1472,1291,1087,906,703,548,456,421,385,406,406,424,467,7730.0,7359.0,6900.0,6128.0,5188.0,4633.0,4435.0,4435.0,4656.0,4772.0,4868.0,4988.0,5177.0,5510.0,5478.0,5386.0,5132.0,4818.0,4427.0,3918.0,3582.0,3306.0,3027.0,2776.0,2579.0,0.983615725126999,541.6833053893347,625.5879202240671,617.5250142940029,594.3441597450676,530.3448439251817,451.22757948642493,352.7089476534509,224.45835020336426,139.7978379376882,70.255274290883,-0.04318678686581734,-63.28660517580829,-112.92386980776712
