학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수,2031_예측학생수,2032_예측학생수,2033_예측학생수,2034_예측학생수,2035_예측학생수,2036_예측학생수
서원중학교,1985-11-30,본교,충청북도 청주시 흥덕구 가경동 486-3,충청북도 청주시 흥덕구 가경로189번길 61,충청북도교육청,36.63107402,흥덕구,127.433502,충북,3893464088,중학교,1436,1291,1189,1129,1244,1258,1170,1036,914,836,747,814,880,898,888,15866.0,16223.0,16204.0,15536.0,14338.0,13216.0,12550.0,12112.0,12364.0,12843.0,13256.0,13554.0,14155.0,14919.0,14796.0,12449.0,9951.0,7777.0,7360.0,6675.0,6103.0,5709.0,5495.0,5281.0,5230.0,0.9860006845421483,1001.146298065277,1086.025753383663,1072.3606054724569,811.6118075244831,534.0870962871422,292.5583844256614,246.23020004376747,170.12754704233498,106.57905431705115,62.806141495789234,39.031006105560664,15.255870715332208,9.589833776539422
검암중학교,2001-03-01,본교,인천광역시 서구 검암동 497,인천광역시 서구 검암로29번길 12,인천광역시교육청,37.56723223,인천광역시 서구,126.6787899964,인천,3030006289,중학교,975,916,845,730,628,537,481,424,399,410,455,470,442,395,331,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,0.8634416756302006,441.5151666714225,523.6181117858807,582.255294735663,624.0145513024995,616.2289271968182,594.1787330513569,525.4692391956232,476.305472989817,441.8418362143182,425.72613876479596,383.5857677312477,351.5721525274669,354.72995810879223
이화여자대학교사범대학부속이화·금란중학교,1955-04-08,본교,서울특별시 서대문구 대신동 47,서울특별시 서대문구 성산로 520,서울특별시교육청,37.562643,서울특별시 서대문구,126.9444886,서울,6790811479,중학교,1182,1085,1007,1016,959,822,657,557,499,448,400,427,470,484,489,14306.0,14230.0,13619.0,12773.0,11648.0,10894.0,10147.0,9542.0,9349.0,9246.0,8816.0,8252.0,7683.0,7551.0,7196.0,7162.0,6867.0,6710.0,6287.0,5759.0,5079.0,4701.0,4480.0,4322.0,4090.0,0.9118356228786637,301.04198843048596,289.294696294265,257.70160001882243,254.67578234737164,228.42236431566585,214.45020624455458,176.8054746262103,129.81630608132673,69.29995265230991,35.65997971676825,15.992164852337794,1.9310121438309693,-18.71574373195125
산곡여자중학교,1990-03-02,본교,인천광역시 부평구 산곡동 228-6,인천광역시 부평구 마장로204번길 37,인천광역시교육청,37.49747444,인천광역시 부평구,126.7060067,인천,3975896418,중학교,1445,1359,1268,1262,1160,1128,1018,975,940,910,850,812,851,843,848,22635.0,21935.0,21479.0,20251.0,18913.0,17729.0,16975.0,16415.0,16885.0,17090.0,16859.0,16133.0,15766.0,15708.0,15251.0,15131.0,14814.0,14477.0,13300.0,11958.0,10398.0,8952.0,7541.0,6791.0,6564.0,0.9734924515579131,793.7919577298019,790.2693143598175,762.5133140135611,755.2250863515244,735.9720182776441,715.5042455934245,644.018879274948,562.5121999211709,467.765240314694,379.9420969871519,294.2446867277038,248.69326383997452,234.9063665126218
시지중학교,1993-05-08,본교,대구광역시 수성구 신매동 583-1,대구광역시 수성구 신매로 66,대구광역시교육청,35.83551752,대구광역시 수성구,128.708958,대구,3364767968,중학교,1531,1517,1483,1464,1391,1340,1238,1119,1047,1021,934,891,866,841,799,16005.0,15151.0,14210.0,12889.0,11398.0,10129.0,9445.0,8813.0,8941.0,9150.0,9177.0,8735.0,8526.0,8663.0,8500.0,8404.0,8018.0,7784.0,6980.0,6091.0,5259.0,4624.0,4300.0,4145.0,3969.0,0.9760203239606069,859.2234428709022,870.6231359130452,857.059997476043,849.0718914027166,816.9530482328832,797.48203967915,730.5816513150413,656.6084606985081,587.3782080630124,534.5402147654887,507.58035676801205,494.6828938371204,480.0380327026886
관악중학교,1982-04-30,본교,서울특별시 관악구 봉천동 100-569,서울특별시 관악구 남부순환로237길 60,서울특별시교육청,37.48125828,서울특별시 관악구,126.9619123,서울,1469006240,중학교,790,771,716,629,591,532,488,427,398,368,342,311,299,290,292,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0,0.982622999462288,253.72779062102796,243.45675820542948,217.86476910322978,189.7050218971305,162.48678599579438,137.70792029316289,88.9205163190698,29.947671866174915,-26.371822546023736,-70.28048612270749,-107.72695847124382,-134.68841856218998,-152.49154141589412
송현여자중학교,1981-11-30,본교,대구광역시 달서구 송현동 540,대구광역시 달서구 송현로 156,대구광역시교육청,35.83112106,대구광역시 달서구,128.5462157,대구,1070928871,중학교,810,759,687,640,612,613,534,459,368,317,275,247,243,229,207,22781.0,24170.0,23767.0,22111.0,19929.0,18327.0,16817.0,15187.0,14741.0,14819.0,15123.0,15300.0,15713.0,16200.0,15893.0,15585.0,15171.0,14578.0,13259.0,11251.0,9674.0,8341.0,7531.0,6616.0,6246.0,0.9857918395448858,269.65882036289105,290.9371218404454,277.52349031352713,264.06616617577214,245.9774252893091,220.06770706304684,162.43715336921906,74.7023908087898,5.79914351905029,-52.443106726493625,-87.83412150435606,-127.81286042008952,-143.97912642973034
신림중학교,1972-05-13,본교,서울특별시 관악구 신림동 133,서울특별시 관악구 신림로 40,서울특별시교육청,37.47032734,서울특별시 관악구,126.946004,서울,6286968708,중학교,741,659,616,594,538,524,474,439,389,384,327,326,311,317,298,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0,0.9746621682529676,275.3114318525923,266.67009168596195,245.13875243744138,221.44707814726326,198.54752670569286,177.70029355369724,136.65392776220318,87.03823297213404,39.65488439177773,2.7131551794331017,-28.79173084473996,-51.475248782144575,-66.45357173763713
광주경신중학교,1984-03-05,본교,광주광역시 북구 용봉동 718-1,광주광역시 북구 금호로40번길 40,광주광역시교육청,35.17473839,광주광역시 북구,126.8926244,광주,4427692532,중학교,1186,1162,1081,1036,977,909,783,683,646,624,577,561,563,566,546,22574.0,22278.0,21016.0,19085.0,16593.0,15078.0,13876.0,13092.0,13407.0,13841.0,13920.0,13307.0,12755.0,12333.0,11505.0,11158.0,11037.0,10985.0,10313.0,9268.0,8369.0,7554.0,7266.0,6956.0,6592.0,0.9878549811784505,529.3850215061152,509.5224167758947,470.55029185498813,454.21777090383534,448.5225690736063,446.07504432011933,414.4454936596735,365.25965967133135,322.9457221062408,284.585478373706,271.02995666208636,256.43894370860687,239.30627043419867
거원중학교,1998-04-06,본교,서울특별시 송파구 거여동 296,서울특별시 송파구 양산로2길 30,서울특별시교육청,37.48772386,서울특별시 송파구,127.1465491,서울,4598630785,중학교,819,781,737,726,738,722,687,598,514,478,434,378,428,438,430,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0,0.9547878550393889,521.3645356551712,538.4420453706912,511.34527088255754,491.6166155055556,458.5633708948718,442.62206646284403,407.33084174831174,361.46946485098783,324.42228651651305,283.62218770020013,245.8175391767304,206.56681120154332,178.23054004050914
