학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수
다인중학교,1951-11-19,본교,경상북도 의성군 다인면 도암리 283,경상북도 의성군 다인면 서릉2길 27,경상북도교육청,36.45317309,의성군,128.3551268,경북,7152329802,중학교,71,72,74,54,48,34,39,33,36,26,22,17,21,26,26,1584.0,1576.0,1417.0,1234.0,1039.0,954.0,928.0,941.0,1025.0,1035.0,1016.0,960.0,918.0,900.0,841.0,798.0,760.0,769.0,735.0,726.0,716.0,721.0,659.0,589.0,540.0
풍기중학교,1950-03-15,본교,경상북도 영주시 풍기읍 동부리 369,경상북도 영주시 풍기읍 동성로 34,경상북도교육청,36.87028488,영주시,128.5315522,경북,4917072296,중학교,265,263,229,224,193,184,170,149,133,125,136,144,134,127,102,4152.0,4069.0,3870.0,3561.0,3207.0,2872.0,2669.0,2512.0,2487.0,2471.0,2392.0,2351.0,2352.0,2440.0,2352.0,2221.0,2025.0,1933.0,1800.0,1652.0,1436.0,1263.0,1132.0,1074.0,1014.0
원화중학교,1953-02-25,본교,대구광역시 달서구 성당동 670-30,대구광역시 달서구 당산로30길 30,대구광역시교육청,35.84830827,대구광역시 달서구,128.5491224,대구,9857908904,중학교,669,741,716,704,669,635,578,550,547,540,507,473,469,495,498,22781.0,24170.0,23767.0,22111.0,19929.0,18327.0,16817.0,15187.0,14741.0,14819.0,15123.0,15300.0,15713.0,16200.0,15893.0,15585.0,15171.0,14578.0,13259.0,11251.0,9674.0,8341.0,7531.0,6616.0,6246.0
거제고현중학교,1961-06-03,본교,경상남도 거제시 고현동 368,경상남도 거제시 거제중앙로7길 19,경상남도교육청,34.87766458,거제시,128.6247295,경남,4314240455,중학교,989,999,1032,974,897,857,747,690,611,602,631,696,760,764,764,8916.0,9216.0,9047.0,8444.0,7759.0,7524.0,7406.0,7533.0,8018.0,8672.0,9229.0,9590.0,9973.0,10384.0,10284.0,10262.0,10202.0,10155.0,9380.0,7877.0,6262.0,5094.0,4262.0,3603.0,2973.0
성산중학교,1967-10-27,본교,서울특별시 마포구 합정동 365-1,서울특별시 마포구 성지1길 32-13,서울특별시교육청,37.54731637,서울특별시 마포구,126.9165629,서울,6875555872,중학교,1422,1326,1138,1027,934,892,822,717,643,604,568,571,544,496,455,16148.0,15854.0,15211.0,14202.0,12654.0,12304.0,11994.0,12257.0,12537.0,12852.0,12453.0,11703.0,11418.0,11480.0,10976.0,10490.0,10319.0,10391.0,9830.0,8732.0,7674.0,6877.0,6308.0,5735.0,5291.0
목포제일중학교,1949-09-01,본교,전라남도 목포시 용해동 170-5,전라남도 목포시 삼학로 277,전라남도교육청,34.796132,목포시,126.4069043,전남,4565421283,중학교,882,859,834,789,715,655,588,564,506,462,435,445,469,433,444,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0
연무중학교,2012-03-01,본교,경기도 수원시 영통구 이의동 1325,경기도 수원시 영통구 센트럴타운로100번길 30,경기도교육청,37.29290141,영통구,127.0518821,경기,4847376167,중학교,0,0,0,112,629,810,943,962,977,924,954,1024,1086,1019,1014,0.0,0.0,0.0,0.0,0.0,0.0,10577.0,9996.0,10026.0,10307.0,10384.0,10142.0,10002.0,10348.0,10684.0,11394.0,11878.0,12002.0,11358.0,10327.0,9506.0,8824.0,8226.0,7684.0,7158.0
인수중학교,1986-05-04,본교,서울특별시 강북구 수유동 551,서울특별시 강북구 인수봉로75길 10,서울특별시교육청,37.64386667,서울특별시 강북구,127.0099213,서울,9326254844,중학교,943,901,849,777,691,668,621,568,500,470,449,463,454,435,385,13303.0,12177.0,11271.0,10441.0,10074.0,9759.0,9364.0,8700.0,8704.0,8763.0,8773.0,8443.0,8374.0,8408.0,8098.0,7669.0,7015.0,6489.0,5901.0,5081.0,4343.0,3620.0,3270.0,2898.0,2675.0
문성중학교,1990-05-04,본교,서울특별시 금천구 독산동 61,서울특별시 금천구 독산로102길 78,서울특별시교육청,37.4754682,서울특별시 금천구,126.9084938,서울,5398282587,중학교,966,939,884,781,687,571,509,436,412,401,347,311,280,254,223,11760.0,11044.0,9988.0,8921.0,7957.0,7605.0,7342.0,7161.0,6908.0,6780.0,6397.0,6082.0,5907.0,6006.0,5743.0,5636.0,5444.0,5300.0,4978.0,4407.0,3966.0,3560.0,3258.0,3108.0,2979.0
배명중학교,1934-10-07,본교,서울특별시 송파구 삼전동 172-1,서울특별시 송파구 삼학사로 11,서울특별시교육청,37.4976895,서울특별시 송파구,127.0958118,서울,3069395601,중학교,951,939,957,955,905,867,774,720,627,584,563,571,547,501,453,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0
