index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
138,🇬🇧,Freddie Leggott,0,1,0,0,0,156.81n=1,78.75n=1,74.81n=1,83.00n=1,4.47n=10,3.32n=6,3.33n=2,3.50n=1,5.62n=2,5.42n=2,5.48n=2
139,🇲🇾,Ze Zeng Fang 138,0,2,0,0,0,156.55n=2,79.20n=2,75.84n=2,81.71n=2,4.64n=20,3.34n=12,3.11n=4,3.15n=2,5.55n=4,5.49n=4,5.48n=4
140,🇦🇺,Douglas Gerber,0,2,0,0,0,156.44n=2,86.98n=2,78.24n=2,79.20n=2,5.43n=20,2.67n=12,2.56n=4,2.75n=2,5.28n=4,5.20n=4,5.61n=4
141,🇪🇸,Pablo García 103,0,1,0,0,0,155.13n=1,83.41n=1,78.24n=1,77.89n=1,5.09n=10,2.93n=6,3.26n=2,3.21n=1,5.25n=2,5.04n=2,5.28n=2
142,🇵🇭,Paolo Borromeo 180,0,1,0,0,0,154.32n=1,93.70n=1,81.76n=1,75.56n=1,5.53n=10,2.81n=6,3.32n=2,3.00n=1,5.00n=2,5.14n=2,5.20n=2
143,🇨🇦,Edward Vasii,1,0,0,0,0,153.70n=1,76.77n=1,62.72n=1,92.98n=1,3.83n=10,2.68n=6,4.68n=1,3.71n=1,6.36n=2,6.32n=2,6.30n=2
144,🇩🇪,Leon Rojkov,1,0,0,0,0,153.51n=1,82.63n=1,79.74n=1,74.77n=1,5.60n=10,2.91n=6,3.35n=1,3.00n=1,4.95n=2,4.91n=2,5.22n=2
145,🇫🇷,Jean Medard 145,1,0,0,0,0,153.46n=1,68.72n=1,67.24n=1,86.22n=1,4.34n=10,2.88n=6,2.82n=1,3.71n=1,5.68n=2,5.68n=2,5.77n=2
146,🇨🇳,Ruiyang Zhang,1,0,0,0,0,153.44n=1,86.13n=1,80.15n=1,75.29n=1,5.35n=10,3.44n=6,2.86n=1,3.14n=1,5.05n=2,4.90n=2,5.25n=2
147,🇬🇧,Connor Bray,0,1,0,0,0,152.29n=1,76.81n=1,70.44n=1,82.85n=1,4.92n=10,2.28n=6,2.58n=2,2.40n=1,5.45n=2,5.38n=2,5.85n=2
148,🇹🇷,Efe Ergin Dincer,1,0,0,0,0,151.97n=1,69.91n=1,71.29n=1,80.68n=1,5.30n=10,2.12n=6,2.73n=1,2.86n=1,5.23n=2,5.26n=2,5.52n=2
