index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
180,🇱🇻,Emilija Ozola,0,1,0,0,0,122.02n=1,64.59n=1,60.22n=1,62.80n=1,4.07n=10,2.05n=6,1.94n=2,3.30n=1,5.28n=2,5.38n=2,5.02n=2
181,🇩🇪,Sarah Marie Pesch,0,3,0,0,0,122.01n=3,62.29n=3,55.34n=3,69.33n=3,2.84n=30,2.92n=18,3.08n=6,3.23n=3,5.84n=6,5.78n=6,5.84n=6
182,🇺🇦,Tatyana Firsova,0,3,0,0,0,121.89n=3,63.99n=3,60.42n=3,62.13n=3,3.40n=30,3.06n=18,2.55n=6,2.97n=3,5.28n=6,5.22n=6,5.32n=6
183,🇨🇿,Barbora Tykalová 154,2,0,0,0,0,121.48n=2,70.70n=2,60.94n=2,61.54n=2,3.63n=20,3.26n=12,3.30n=2,1.75n=2,5.18n=4,5.04n=4,5.30n=4
184,🇫🇷,Clemence Mayindu 122,0,1,1,0,0,121.37n=2,70.82n=2,59.96n=2,63.42n=2,3.88n=20,2.22n=12,2.38n=4,3.03n=2,5.34n=4,5.23n=4,5.47n=4
185,🇸🇪,Miranda Lundgren,0,1,0,0,0,121.24n=1,61.80n=1,61.64n=1,59.60n=1,3.99n=10,2.46n=6,2.24n=2,2.50n=1,5.05n=2,4.82n=2,5.02n=2
186,🇷🇸,Antonina Dubinina 100,0,2,0,0,0,121.12n=2,64.08n=2,57.92n=2,63.20n=2,3.29n=20,2.83n=12,2.58n=4,2.85n=2,5.36n=4,5.28n=4,5.36n=4
187,🇨🇾,Marilena Kitromilis 106,0,1,0,0,0,121.00n=1,61.49n=1,55.68n=1,69.32n=1,3.13n=10,2.58n=6,2.90n=2,3.10n=1,5.80n=2,5.82n=2,5.98n=2
188,🇧🇬,Lia Lyubenova 193,1,0,0,0,0,120.67n=1,65.30n=1,61.27n=1,61.40n=1,3.52n=10,3.12n=6,3.68n=1,3.71n=1,5.26n=2,5.16n=2,5.05n=2
189,🇦🇿,Sabina Alieva 300,2,0,0,0,0,120.48n=2,71.13n=2,63.47n=2,61.50n=2,4.15n=20,2.61n=12,3.09n=2,3.25n=2,5.18n=4,5.01n=4,5.28n=4
190,🇹🇷,Deniz Tarim,1,0,0,0,0,120.42n=1,67.44n=1,61.51n=1,59.91n=1,3.99n=10,2.82n=6,1.77n=1,2.93n=1,4.98n=2,4.77n=2,5.12n=2
191,🇮🇹,Amanda Ghezzo 187,1,0,0,0,0,120.17n=1,65.24n=1,59.05n=1,65.12n=1,3.18n=10,3.16n=6,4.46n=1,3.79n=1,5.59n=2,5.45n=2,5.40n=2
192,🇫🇷,Eve Dubecq 336,1,1,0,0,0,119.74n=2,67.42n=2,59.54n=2,64.70n=2,3.26n=20,3.06n=12,3.15n=3,3.82n=2,5.48n=4,5.37n=4,5.52n=4
193,🇰🇿,Sofia Farafonova 119,1,1,0,0,0,118.99n=2,69.44n=2,57.76n=2,62.73n=2,3.12n=20,3.22n=12,3.04n=3,2.70n=2,5.30n=4,5.17n=4,5.29n=4
194,🇲🇽,Regina Garcia De León Saab 290,1,0,0,0,0,118.50n=1,62.25n=1,60.40n=1,59.10n=1,3.58n=10,3.09n=6,2.75n=1,3.29n=1,4.94n=2,4.86n=2,4.98n=2
195,🇵🇱,Karolina Bialas 107,0,1,0,0,0,118.46n=1,59.05n=1,51.53n=1,66.93n=1,2.57n=10,2.91n=6,2.48n=2,3.40n=1,5.60n=2,5.55n=2,5.68n=2
196,🇮🇱,Viktoriia Iushchenkova,0,1,0,0,0,118.28n=1,62.83n=1,57.21n=1,63.07n=1,3.46n=10,2.51n=6,2.68n=2,2.20n=1,5.35n=2,5.38n=2,5.35n=2
197,🇸🇪,Lilly Almgren-Lidman 268,2,0,0,0,0,118.04n=2,70.62n=2,61.80n=2,58.73n=2,3.85n=20,2.73n=12,3.54n=2,3.39n=2,4.94n=4,4.83n=4,4.97n=4
198,🇭🇺,Dária Zsirnov 220,0,2,0,0,0,118.04n=2,67.60n=2,58.87n=2,61.16n=2,3.38n=20,2.75n=12,2.92n=4,2.75n=2,5.25n=4,5.05n=4,5.31n=4
199,🇸🇪,Josefin Brovall 220,0,2,0,0,0,117.95n=2,61.80n=2,55.30n=2,64.15n=2,3.07n=20,2.71n=12,2.58n=4,3.20n=2,5.41n=4,5.34n=4,5.49n=4
200,🇭🇺,Zsófia Széplaki,1,0,0,0,0,117.61n=1,65.50n=1,58.96n=1,58.65n=1,3.82n=10,2.47n=6,2.60n=1,3.36n=1,4.91n=2,4.68n=2,4.86n=2
201,🇲🇾,Audrey Lee,1,0,0,0,0,117.57n=1,57.57n=1,56.13n=1,62.44n=1,3.08n=10,3.00n=6,3.72n=1,3.64n=1,5.22n=2,5.30n=2,4.91n=2
202,🇮🇳,Tara Prasad 152,0,1,0,0,0,117.44n=1,67.53n=1,59.24n=1,60.20n=1,3.82n=10,2.16n=6,2.58n=2,3.00n=1,5.00n=2,5.12n=2,5.08n=2
203,🇹🇼,Chloe Tang 256,2,0,0,0,0,117.40n=2,62.40n=2,57.66n=2,61.75n=2,3.19n=20,3.10n=12,3.32n=2,3.82n=2,5.19n=4,5.17n=4,5.22n=4
204,🇰🇷,Hyorin Lee 232,1,0,0,0,0,117.34n=1,76.43n=1,63.00n=1,60.34n=1,3.78n=10,3.08n=6,3.63n=1,3.07n=1,5.16n=2,4.79n=2,5.58n=2
205,🇳🇴,Mia Caroline Risa Gomez 91,0,2,0,0,0,117.31n=2,68.66n=2,60.32n=2,60.00n=2,3.44n=20,2.91n=12,2.85n=4,2.80n=2,5.06n=4,4.94n=4,5.01n=4
206,🇫🇷,Mila Bertsch,1,0,0,0,0,116.76n=1,62.55n=1,60.98n=1,57.78n=1,3.65n=10,3.05n=6,2.64n=1,3.50n=1,4.90n=2,4.76n=2,4.98n=2
207,🇪🇸,Emilia Murdock,0,2,0,0,0,116.23n=2,57.46n=2,55.30n=2,62.44n=2,2.59n=20,3.34n=12,2.91n=4,3.55n=2,5.31n=4,5.20n=4,5.44n=4
208,🇱🇹,Milana Siniavskyte 336,2,0,0,0,0,116.11n=2,72.78n=2,61.28n=2,57.83n=2,3.86n=20,2.77n=12,2.73n=2,3.39n=2,4.89n=4,4.77n=4,4.86n=4
209,🇪🇸,Carlota García Barranco,1,0,0,0,0,116.08n=1,65.06n=1,61.23n=1,57.85n=1,3.52n=10,3.15n=6,3.54n=1,3.57n=1,4.82n=2,4.89n=2,4.73n=2
210,🇫🇮,Emmi Ahlstedt,1,0,0,0,0,115.87n=1,62.60n=1,57.77n=1,58.10n=1,3.61n=10,2.69n=6,2.86n=1,2.71n=1,4.98n=2,4.73n=2,5.12n=2
211,🇰🇬,Zhasmin Shlaga,2,0,0,0,0,115.28n=2,62.90n=2,59.76n=2,57.53n=2,3.56n=20,3.01n=12,2.56n=2,3.50n=2,4.75n=4,4.66n=4,4.98n=4
212,🇰🇿,Anna Sannikova 308,1,0,0,0,0,115.26n=1,58.61n=1,53.69n=1,63.57n=1,2.98n=10,2.76n=6,3.82n=1,3.50n=1,5.30n=2,5.22n=2,5.28n=2
213,🇵🇱,Weronika Ferlin 268,2,0,0,0,0,114.06n=2,67.62n=2,63.46n=2,52.10n=2,4.18n=20,2.69n=12,2.72n=2,2.79n=2,4.30n=4,4.18n=4,4.60n=4
214,🇳🇱,Roos Van Der Pas,0,1,0,0,0,113.79n=1,56.73n=1,54.13n=1,61.66n=1,2.63n=10,3.09n=6,3.08n=2,3.10n=1,5.05n=2,5.18n=2,5.25n=2
215,🇦🇺,Sienna Kaczmarczyk,1,0,0,0,0,113.02n=1,63.06n=1,59.55n=1,53.47n=1,3.56n=10,3.08n=6,2.34n=1,3.14n=1,4.52n=2,4.34n=2,4.54n=2
216,🇧🇬,Kristina Grigorova 178,0,1,0,0,0,112.49n=1,60.46n=1,56.69n=1,56.80n=1,3.13n=10,2.87n=6,2.50n=2,3.20n=1,4.92n=2,4.62n=2,4.92n=2
217,🇳🇴,Pernille With,2,0,0,0,0,112.16n=2,64.06n=2,59.38n=2,54.28n=2,3.93n=20,2.35n=12,2.96n=2,3.00n=2,4.59n=4,4.43n=4,4.57n=4
218,🇸🇮,Zala Grum,2,0,0,0,0,111.83n=2,63.82n=2,57.42n=2,58.42n=2,3.21n=20,3.03n=12,3.72n=2,3.43n=2,4.94n=4,4.94n=4,4.88n=4
219,🇫🇮,Minja Peltonen 125,2,0,0,0,0,111.32n=2,62.06n=2,54.93n=2,57.40n=2,3.40n=20,2.44n=12,3.02n=2,3.28n=2,4.78n=4,4.76n=4,4.80n=4
220,🇿🇦,Ella Hawkes,2,0,0,0,0,111.16n=2,60.08n=2,55.58n=2,57.58n=2,3.18n=20,2.76n=12,3.58n=2,3.64n=2,4.88n=4,4.80n=4,4.70n=4
221,🇸🇮,Vita Kas,1,0,0,0,0,111.12n=1,53.55n=1,52.45n=1,58.67n=1,2.75n=10,3.06n=6,2.82n=1,3.79n=1,4.80n=2,4.82n=2,4.96n=2
222,🇸🇮,Zoja Kramar 252,1,0,0,0,0,110.14n=1,71.04n=1,59.52n=1,54.62n=1,3.66n=10,2.60n=6,3.58n=1,3.79n=1,4.66n=2,4.54n=2,4.68n=2
223,🇬🇪,Ekaterine Iazadzhi,1,0,0,0,0,109.37n=1,59.34n=1,56.28n=1,54.09n=1,3.56n=10,2.56n=6,2.67n=1,2.64n=1,4.57n=2,4.54n=2,4.44n=2
224,🇳🇴,Oda Tønnesen Havgar 236,1,0,0,0,0,108.88n=1,54.97n=1,49.97n=1,59.91n=1,2.69n=10,2.77n=6,2.82n=1,3.64n=1,5.04n=2,4.98n=2,4.91n=2
225,🇩🇰,Anna-Flora Colmor Jepsen,0,1,0,0,0,108.82n=1,58.04n=1,50.43n=1,59.39n=1,2.79n=10,2.50n=6,2.20n=2,3.10n=1,5.10n=2,5.05n=2,4.85n=2
226,🇪🇪,Marianne Must 316,1,0,0,0,0,108.72n=1,62.61n=1,54.68n=1,54.04n=1,3.50n=10,2.31n=6,2.64n=1,3.21n=1,4.46n=2,4.32n=2,4.70n=2
227,🇸🇬,Vianna Shen-Rou Linke 316,1,0,0,0,0,108.65n=1,58.09n=1,54.79n=1,54.86n=1,3.12n=10,2.95n=6,2.64n=1,3.29n=1,4.62n=2,4.48n=2,4.50n=2
228,🇭🇷,Hana Cvijanović 208,0,1,0,0,0,108.31n=1,59.44n=1,51.11n=1,58.20n=1,2.55n=10,2.80n=6,3.02n=2,2.80n=1,4.92n=2,4.85n=2,4.95n=2
229,🇷🇸,Ana Scepanovic,1,0,0,0,0,107.92n=1,56.39n=1,53.83n=1,54.09n=1,3.14n=10,2.91n=6,1.90n=1,3.07n=1,4.38n=2,4.50n=2,4.56n=2
230,🇿🇦,Jasmine Coetzee 336,1,0,0,0,0,107.78n=1,67.86n=1,57.53n=1,52.25n=1,3.78n=10,2.38n=6,2.45n=1,3.00n=1,4.43n=2,4.26n=2,4.40n=2
231,🇮🇪,Allie Peterson,1,0,0,0,0,106.61n=1,52.81n=1,47.87n=1,59.74n=1,2.67n=10,2.44n=6,2.90n=1,3.64n=1,5.04n=2,5.04n=2,4.98n=2
232,🇦🇷,Cecilia Donohue,1,0,0,0,0,105.85n=1,57.97n=1,50.57n=1,57.28n=1,2.72n=10,2.78n=6,3.49n=1,3.21n=1,4.68n=2,4.77n=2,4.91n=2
233,🇳🇴,Linnea Kilsand 282,0,1,0,0,0,104.94n=1,47.95n=1,46.94n=1,59.00n=1,2.29n=10,2.62n=6,2.40n=2,3.50n=1,4.95n=2,4.88n=2,5.25n=2
234,🇵🇱,Aleksandra Janikowska 199,2,0,0,0,0,104.58n=2,62.18n=2,54.96n=2,50.11n=2,3.43n=20,2.79n=12,1.86n=2,2.10n=2,4.14n=4,3.90n=4,4.44n=4
235,🇨🇿,Barbora Vrankova 145,0,1,0,0,0,104.38n=1,55.61n=1,45.85n=1,61.53n=1,2.34n=10,2.36n=6,2.72n=2,2.90n=1,5.28n=2,5.22n=2,5.40n=2
236,🇹🇷,Selin Akbulut,1,0,0,0,0,103.19n=1,50.67n=1,50.20n=1,54.99n=1,2.43n=10,3.11n=6,3.63n=1,3.57n=1,4.54n=2,4.68n=2,4.70n=2
237,🇦🇺,Andrea Guo,1,0,0,0,0,102.51n=1,63.57n=1,56.04n=1,46.47n=1,3.56n=10,2.65n=6,2.27n=1,2.29n=1,3.74n=2,3.71n=2,4.20n=2
238,🇬🇷,Sofia Lamprinou,2,0,0,0,0,102.45n=2,46.95n=2,50.16n=2,52.29n=2,2.38n=20,3.28n=12,2.74n=2,3.93n=2,4.38n=4,4.37n=4,4.33n=4
239,🇧🇪,Charlotte Jennes 268,1,0,0,0,0,101.96n=1,54.36n=1,49.17n=1,52.79n=1,2.81n=10,2.56n=6,2.60n=1,3.07n=1,4.38n=2,4.23n=2,4.68n=2
240,🇩🇰,Selmasiri Bella Larsen,1,0,0,0,0,100.34n=1,45.86n=1,43.69n=1,56.65n=1,2.39n=10,2.30n=6,2.71n=1,3.29n=1,4.79n=2,4.77n=2,4.64n=2
241,🇧🇬,Chiara Hristova 201,1,0,0,0,0,100.11n=1,58.52n=1,49.67n=1,50.44n=1,3.00n=10,2.33n=6,2.64n=1,3.00n=1,4.18n=2,4.22n=2,4.50n=2
242,🇪🇸,Nuria Rodríguez,0,1,0,0,0,99.53n=1,57.03n=1,48.06n=1,54.47n=1,2.38n=10,2.46n=6,3.17n=2,3.10n=1,4.72n=2,4.55n=2,4.70n=2
243,🇰🇿,Karina Issakova,0,1,0,0,0,99.29n=1,53.97n=1,47.76n=1,55.53n=1,2.50n=10,2.35n=6,2.68n=2,3.30n=1,4.82n=2,4.58n=2,5.05n=2
244,🇬🇧,Arina Vorobeva,1,0,0,0,0,99.25n=1,59.16n=1,50.19n=1,51.06n=1,2.62n=10,2.98n=6,2.82n=1,3.29n=1,4.34n=2,4.16n=2,4.45n=2
245,🇰🇿,Amina Alexeyeva,0,1,0,0,0,98.85n=1,51.87n=1,48.05n=1,50.80n=1,2.48n=10,2.59n=6,2.20n=2,3.30n=1,4.35n=2,4.30n=2,4.05n=2
246,🇫🇷,Ninon Dapoigny,1,0,0,0,0,98.81n=1,63.10n=1,46.47n=1,56.34n=1,3.12n=10,2.02n=6,2.64n=1,0.50n=1,4.88n=2,4.64n=2,4.96n=2
247,🇹🇭,Pimmpida Lerdpraiwan,2,0,0,0,0,98.05n=2,48.73n=2,47.13n=2,50.92n=2,2.33n=20,3.01n=12,2.45n=2,3.25n=2,4.17n=4,4.12n=4,4.31n=4
248,🇪🇪,Martaliis Kuslap,0,1,0,0,0,97.57n=1,60.30n=1,51.09n=1,47.48n=1,3.41n=10,2.06n=6,1.30n=2,2.00n=1,3.92n=2,3.88n=2,4.42n=2
249,🇷🇸,Nadja Savic,1,0,0,0,0,97.29n=1,49.44n=1,49.62n=1,47.67n=1,2.61n=10,2.96n=6,2.34n=1,3.43n=1,3.98n=2,3.94n=2,3.86n=2
250,🇧🇬,Krista Georgieva 260,1,0,0,0,0,97.28n=1,47.94n=1,42.19n=1,55.09n=1,1.88n=10,3.00n=6,1.75n=1,3.64n=1,4.52n=2,4.77n=2,4.46n=2
251,🇳🇱,Emilia Soloukhin 316,1,0,0,0,0,97.28n=1,51.24n=1,46.47n=1,52.81n=1,2.04n=10,3.22n=6,3.68n=1,3.14n=1,4.40n=2,4.46n=2,4.39n=2
252,🇲🇽,Eugenia Garza Martinez,0,1,0,0,0,97.18n=1,45.14n=1,38.85n=1,60.33n=1,1.48n=10,2.51n=6,2.80n=2,3.40n=1,5.10n=2,5.10n=2,5.00n=2
253,🇱🇻,Miriama Sosina,1,0,0,0,0,96.93n=1,52.11n=1,48.28n=1,48.65n=1,2.87n=10,2.34n=6,3.02n=1,2.57n=1,4.07n=2,3.92n=2,4.34n=2
254,🇹🇷,Sena Lidya Bayraktaroglu,1,0,0,0,0,96.87n=1,47.89n=1,43.22n=1,54.65n=1,1.87n=10,3.25n=6,1.90n=1,3.14n=1,4.62n=2,4.59n=2,4.62n=2
255,🇮🇸,Sædís Heba Guðmundsdóttír,2,0,0,0,0,96.26n=2,50.40n=2,48.02n=2,49.24n=2,2.76n=20,2.66n=12,1.59n=2,2.90n=2,4.22n=4,4.06n=4,4.03n=4
256,🇲🇾,Katherine Ong Pui Kuan,0,2,0,0,0,96.18n=2,58.63n=2,47.58n=2,54.10n=2,2.58n=20,2.36n=12,2.56n=4,2.50n=2,4.55n=4,4.42n=4,4.69n=4
257,🇹🇼,Amanda Hsu 315,0,1,0,0,0,95.85n=1,53.14n=1,46.79n=1,52.06n=1,2.24n=10,2.73n=6,2.46n=2,3.10n=1,4.45n=2,4.30n=2,4.55n=2
258,🇦🇲,Sofi Karapetyan,1,0,0,0,0,95.47n=1,48.34n=1,45.59n=1,49.88n=1,2.72n=10,2.33n=6,1.75n=1,2.64n=1,4.10n=2,4.10n=2,4.36n=2
259,🇱🇻,Natasha Jermolicka,1,0,0,0,0,95.34n=1,68.15n=1,51.03n=1,48.31n=1,3.34n=10,2.08n=6,2.34n=1,2.86n=1,4.02n=2,3.82n=2,4.36n=2
260,🇳🇿,Cara Tang,1,0,0,0,0,94.89n=1,43.31n=1,41.60n=1,54.29n=1,1.74n=10,2.96n=6,2.79n=1,3.64n=1,4.56n=2,4.42n=2,4.59n=2
261,🇰🇿,Kristina Timoshenko,0,1,0,0,0,94.22n=1,57.31n=1,47.23n=1,48.99n=1,2.24n=10,2.96n=6,2.29n=2,2.50n=1,4.25n=2,4.08n=2,4.30n=2
262,🇲🇽,Cayetana Gonzalez,1,0,0,0,0,94.19n=1,45.18n=1,41.96n=1,52.23n=1,2.08n=10,2.54n=6,2.71n=1,3.14n=1,4.48n=2,4.27n=2,4.54n=2
263,🇮🇱,Julia Fennell,0,1,0,0,0,93.89n=1,45.17n=1,39.42n=1,54.47n=1,1.90n=10,1.87n=6,2.74n=2,3.70n=1,4.65n=2,4.50n=2,4.50n=2
264,🇹🇭,Nutcha Doltanakarn,1,0,0,0,0,93.36n=1,53.20n=1,45.75n=1,48.61n=1,2.47n=10,2.56n=6,2.60n=1,3.07n=1,4.11n=2,4.18n=2,3.96n=2
265,🇦🇿,Leyli Akhundova,1,0,0,0,0,93.22n=1,60.82n=1,50.59n=1,45.63n=1,3.31n=10,2.13n=6,2.12n=1,2.57n=1,3.84n=2,3.57n=2,3.88n=2
266,🇮🇩,Michelle Edgina Axille,1,0,0,0,0,93.04n=1,50.63n=1,44.97n=1,49.07n=1,2.58n=10,2.23n=6,2.53n=1,3.21n=1,4.00n=2,4.02n=2,4.20n=2
267,🇺🇦,Sofiia Ekzarkhova,1,0,0,0,0,91.77n=1,44.97n=1,41.59n=1,50.18n=1,2.09n=10,2.69n=6,1.70n=1,2.86n=1,4.14n=2,4.04n=2,4.44n=2
268,🇧🇷,Elena Mills,2,0,0,0,0,91.48n=2,49.90n=2,43.90n=2,49.57n=2,2.21n=20,2.67n=12,2.47n=2,3.28n=2,4.10n=4,4.21n=4,4.01n=4
269,🇲🇾,Wei Xuan Oh,1,0,0,0,0,91.24n=1,50.93n=1,42.15n=1,50.09n=1,2.04n=10,3.08n=6,2.60n=1,0.64n=1,4.28n=2,4.14n=2,4.04n=2
270,🇵🇭,Hayden Isabel Balucating,1,0,0,0,0,90.40n=1,55.58n=1,45.44n=1,47.96n=1,2.42n=10,2.69n=6,2.79n=1,2.29n=1,4.00n=2,3.93n=2,4.22n=2
271,🇵🇱,Julia Kasprzyk,1,0,0,0,0,89.35n=1,51.19n=1,43.50n=1,47.85n=1,2.77n=10,1.89n=6,1.67n=1,2.79n=1,4.10n=2,3.84n=2,4.18n=2
272,🇧🇦,Nadia Festic,1,0,0,0,0,89.00n=1,53.91n=1,44.59n=1,46.41n=1,2.68n=10,2.26n=6,1.18n=1,3.07n=1,3.88n=2,4.02n=2,3.66n=2
273,🇹🇷,Zeynep Naz Dogan,1,0,0,0,0,87.09n=1,46.71n=1,38.39n=1,49.70n=1,1.76n=10,2.51n=6,3.16n=1,2.57n=1,4.14n=2,4.10n=2,4.28n=2
274,🇭🇺,Cintia Szabó,0,1,0,0,0,86.13n=1,44.27n=1,36.74n=1,52.39n=1,1.72n=10,2.01n=6,2.24n=2,3.00n=1,4.70n=2,4.48n=2,4.58n=2
275,🇪🇪,Karoliine Raudsepp,0,1,0,0,0,85.58n=1,47.62n=1,36.06n=1,53.52n=1,1.54n=10,2.38n=6,1.71n=2,3.00n=1,4.55n=2,4.25n=2,4.85n=2
276,🇪🇪,Olesja Leonova,0,2,0,0,0,85.50n=2,42.89n=2,35.07n=2,52.44n=2,1.70n=20,2.10n=12,1.76n=4,2.00n=2,4.36n=4,4.36n=4,4.76n=4
277,🇹🇼,Ting-Yun Cheng,1,0,0,0,0,84.22n=1,49.20n=1,39.82n=1,45.40n=1,2.00n=10,2.51n=6,2.27n=1,2.50n=1,3.91n=2,3.88n=2,3.82n=2
278,🇷🇴,Ana Stratulat,1,0,0,0,0,83.86n=1,50.24n=1,40.68n=1,46.18n=1,2.04n=10,2.53n=6,1.77n=1,3.29n=1,3.98n=2,3.75n=2,3.80n=2
279,🇩🇰,Annika Lytchoff Skibby,0,1,0,0,0,83.50n=1,51.03n=1,40.78n=1,48.72n=1,1.73n=10,2.63n=6,2.60n=2,2.50n=1,4.28n=2,4.05n=2,4.25n=2
280,🇵🇪,Sara Zofrea Bravo,1,0,0,0,0,81.77n=1,45.81n=1,38.32n=1,43.45n=1,2.49n=10,1.33n=6,2.53n=1,2.93n=1,3.66n=2,3.60n=2,3.57n=2
281,🇺🇦,Anastasiia Vasylchenko 300,1,0,0,0,0,81.07n=1,51.59n=1,40.00n=1,46.07n=1,2.19n=10,2.26n=6,2.41n=1,2.14n=1,3.96n=2,3.72n=2,4.24n=2
282,🇻🇳,Cao Ha Mi Nguyen,1,0,0,0,0,80.04n=1,41.06n=1,36.52n=1,44.52n=1,2.00n=10,1.94n=6,1.75n=1,3.14n=1,3.78n=2,3.66n=2,3.90n=2
283,🇮🇪,Saoirse O'Sullivan,1,0,0,0,0,79.68n=1,40.10n=1,38.47n=1,42.21n=1,2.28n=10,1.95n=6,1.57n=1,2.36n=1,3.50n=2,3.48n=2,3.54n=2
284,🇹🇷,Azra Saglam,1,0,0,0,0,79.68n=1,47.48n=1,40.02n=1,42.66n=1,2.00n=10,2.66n=6,1.54n=1,2.50n=1,3.62n=2,3.66n=2,3.41n=2
285,🇮🇩,Chilly Ann Sintana Wongso,1,0,0,0,0,78.96n=1,46.05n=1,36.53n=1,45.43n=1,2.21n=10,1.88n=6,2.56n=1,0.57n=1,3.89n=2,3.86n=2,3.82n=2
286,🇲🇳,Misheel Otgonbaatar,2,0,0,0,0,78.84n=2,37.16n=2,34.20n=2,46.14n=2,1.73n=20,2.09n=12,2.42n=2,2.00n=2,3.93n=4,3.70n=4,3.98n=4
287,🇷🇴,Natalia Runcanu,1,0,0,0,0,78.80n=1,52.15n=1,41.22n=1,42.58n=1,2.62n=10,1.79n=6,1.59n=1,2.71n=1,3.58n=2,3.46n=2,3.68n=2
288,🇰🇬,Daria Snegovskaia,1,0,0,0,0,78.72n=1,48.35n=1,38.56n=1,41.16n=1,2.60n=10,1.26n=6,2.45n=1,2.57n=1,3.50n=2,3.39n=2,3.64n=2
289,🇸🇬,Joyce Yue En Yang,1,0,0,0,0,78.47n=1,44.22n=1,37.75n=1,41.72n=1,1.94n=10,2.31n=6,2.27n=1,2.29n=1,3.62n=2,3.46n=2,3.46n=2
290,🇦🇩,Andrea Pazos Guerra,2,0,0,0,0,78.32n=2,41.40n=2,37.64n=2,42.18n=2,2.24n=20,1.87n=12,1.49n=2,2.57n=2,3.56n=4,3.41n=4,3.58n=4
291,🇪🇸,Sara Schiavone Recio,1,0,0,0,0,77.95n=1,47.30n=1,36.56n=1,44.39n=1,2.20n=10,1.82n=6,1.26n=1,2.43n=1,3.73n=2,3.57n=2,3.89n=2
292,🇱🇺,Rebecca Toft,1,0,0,0,0,76.97n=1,39.83n=1,34.30n=1,43.67n=1,1.90n=10,1.68n=6,2.15n=1,3.00n=1,3.64n=2,3.48n=2,3.72n=2
293,🇵🇭,Samantha Leyla Mascarinas 336,1,0,0,0,0,75.20n=1,41.66n=1,34.93n=1,45.27n=1,1.88n=10,1.93n=6,1.75n=1,2.86n=1,3.78n=2,3.95n=2,3.82n=2
294,🇭🇷,Meri Marinac,1,0,0,0,0,74.73n=1,39.10n=1,34.51n=1,44.22n=1,2.33n=10,1.22n=6,1.93n=1,2.00n=1,3.84n=2,3.38n=2,4.07n=2
295,🇻🇳,Huong Dieu Le,1,0,0,0,0,73.78n=1,34.13n=1,30.45n=1,43.33n=1,1.06n=10,2.34n=6,2.60n=1,3.14n=1,3.59n=2,3.58n=2,3.75n=2
296,🇲🇽,Victoria Tabe Artasanchez 308,1,0,0,0,0,73.49n=1,35.72n=1,30.34n=1,47.15n=1,1.34n=10,2.06n=6,1.72n=1,2.79n=1,3.93n=2,3.91n=2,3.96n=2
297,🇹🇭,Chichaya Rungrattanaprasert,1,0,0,0,0,72.59n=1,42.88n=1,37.04n=1,38.55n=1,1.73n=10,2.54n=6,2.12n=1,2.36n=1,3.30n=2,3.09n=2,3.41n=2
298,🇹🇭,Kidakarn Thamsirianunt,1,0,0,0,0,70.63n=1,38.48n=1,30.48n=1,44.15n=1,1.19n=10,2.44n=6,1.26n=1,2.71n=1,3.91n=2,3.78n=2,3.80n=2
299,🇪🇬,Hannah Dabees,2,0,0,0,0,69.06n=2,34.78n=2,31.64n=2,39.92n=2,1.60n=20,1.76n=12,2.00n=2,3.07n=2,3.32n=4,3.41n=4,3.22n=4
300,🇪🇨,Valeska Martina Ona Proano,1,0,0,0,0,62.38n=1,34.28n=1,26.97n=1,37.41n=1,1.22n=10,1.80n=6,1.54n=1,2.43n=1,3.20n=2,3.14n=2,3.08n=2
301,🇰🇬,Diana Kim,1,0,0,0,0,61.36n=1,36.39n=1,30.02n=1,32.34n=1,1.56n=10,2.00n=6,1.01n=1,1.43n=1,2.94n=2,2.44n=2,2.74n=2
302,🇵🇪,Mora Briceno Rantica,1,0,0,0,0,41.08n=1,17.69n=1,13.29n=1,29.79n=1,0.60n=10,0.68n=6,1.11n=1,2.14n=1,2.59n=2,2.64n=2,2.21n=2
303,🇰🇼,Sama Jeraq,2,0,0,0,0,39.36n=2,24.24n=2,16.73n=2,25.14n=2,0.97n=20,0.72n=12,1.10n=2,1.60n=2,2.20n=4,2.06n=4,2.01n=4
304,🇮🇳,Harshita Rawtani,1,0,0,0,0,34.34n=1,19.08n=1,13.07n=1,22.27n=1,0.48n=8,1.11n=6,0.96n=1,1.64n=1,1.93n=2,1.95n=2,1.64n=2
