index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
92,🇹🇼,Yu-Feng Tsai 99,2,0,0,0,0,151.56n=2,75.99n=2,78.62n=2,72.94n=2,5.06n=20,3.50n=12,3.03n=2,4.00n=2,6.04n=4,6.11n=4,6.19n=4
93,🇪🇪,Maria Eliise Kaljuvere 75,2,0,0,0,0,151.50n=2,81.62n=2,80.82n=2,72.68n=2,5.20n=20,3.48n=12,4.26n=2,3.68n=2,6.06n=4,6.02n=4,6.14n=4
94,🇺🇸,Sonja Hilmer 97,0,1,0,0,0,151.43n=1,74.98n=1,73.97n=1,79.46n=1,4.01n=10,3.70n=6,3.96n=2,3.80n=1,6.72n=2,6.52n=2,6.75n=2
95,🇨🇦,Breken Brezden,0,1,0,0,0,150.54n=1,77.82n=1,77.94n=1,73.60n=1,4.70n=10,3.43n=6,3.32n=2,3.70n=1,6.05n=2,6.00n=2,6.15n=2
96,🇮🇹,Carlotta Maria Gardini 96,0,1,0,0,0,149.97n=1,74.09n=1,72.71n=1,77.26n=1,4.24n=10,3.35n=6,3.28n=2,3.60n=1,6.50n=2,6.58n=2,6.48n=2
97,🇺🇸,Cleo Park 227,1,0,0,0,0,149.88n=1,81.34n=1,77.07n=1,73.81n=1,4.81n=10,3.49n=6,4.05n=1,4.00n=1,6.09n=2,6.22n=2,6.28n=2
98,🇮🇹,Ginevra Lavinia Negrello 102,0,1,0,0,0,149.59n=1,68.34n=1,71.18n=1,79.41n=1,3.59n=10,4.12n=6,3.38n=2,3.80n=1,6.58n=2,6.65n=2,6.50n=2
99,🇮🇱,Simona Tkachman 215,2,0,0,0,0,148.36n=2,81.69n=2,80.37n=2,68.98n=2,5.29n=20,3.48n=12,2.90n=2,3.68n=2,5.73n=4,5.75n=4,5.66n=4
100,🇮🇱,Sophia Shifrin 121,2,0,0,0,0,148.20n=2,79.38n=2,78.77n=2,70.93n=2,5.07n=20,3.47n=12,3.84n=2,3.39n=2,5.91n=4,5.73n=4,6.03n=4
101,🇺🇸,Clare Seo 77,0,2,0,0,0,147.68n=2,75.36n=2,74.54n=2,76.14n=2,4.47n=20,3.38n=12,3.04n=4,3.50n=2,6.21n=4,6.31n=4,6.61n=4
