text
Are you missing your favorite performance from an Olympic Opening or Closing Ceremony? Just let us know in the comments and we will add them to a future #MusicMonday!
The artistic aspect and emotional interpretation of Medvedeva reminds us that the figure skating is not only a sport but a state of the art.
"In an interview after the Olympics, Evgenia said that she felt like she had wings while skating this long program. I can feel that just by watching this video. That's how amazing she was"
This program is bittersweet. She skates with her  soul as always.
"как живется человеку, который в начале проката кричит ""Женя, давай! за родину!""? спасибо тебе чел, каждый раз в слёзы"
I never watch this without crying. “I did everything I could.”
This is the only performance that has made me cry. And it wasn’t because I thought she had the best skating skills in the field or because she was the best jumper or the most consistent. It was because she just skates with her soul. Every time she steps on the ice she is fully committed and she feels every note.
"Chills. Absolute chills. No one will skate like her again. With such poetry, skill, and emotion."
It's been 6 years since Pyeongchang ..... this performance never fails to captivate me
"I will always remember the ending of this piece, as the sound of the train builds and Evgenia holds her hand dramatically over face as the whistle blows. It perfectly encapsulates the fate of Anna from Tolstoy's novel and is one moment from my many hours of watching figure skating I will never forget. One of my favorite performances."
"You can judge her technique in the jumps, especially the lutz, but you can't deny she captivates you from the beginning to the end and she produces art on the ice, exactly what i found out to be missing in alina's program! What a great performance to watch! Well done Evgenia!"
"This used to be her greatest performance. Now we have Exogenesis, Memoirs Of A Geisha and even her exhibition program, idontwannabeyouanymore. Her entire program set was one of the best in this season among all others. You'd think she was at her peak already during the Olympic season but we were wrong. She was still growing, improving, despite all the odds stacked against her.

To all the people who said that it was her time to retire after getting a silver and changing coaches, no, she will keep on fighting and proving herself."
"The fascinating thing about her performance is that she is so in tune with this performance that all the technical elements and the difficulty seem to disappear into this absolute masterpiece of her superb skating and the intricate choreography. Also she just effortlessly transitions from one to the next and it's always 100% spot on with the music. I can see why she later said that this was the most perfect flow moment, skating absolutely in the moment and all out with her heart she has ever had."
"This is not just a skating program, this is ART."
Did anyone else cry at the end when she cried? Truly the most amazing skater of the current era. Her passion and artistry is beyond compare.
"""Женя давай, за Родину!"" - в этих словах столько силы. Женя вошла в историю этим прокатом!"
"Looking at the comments i’m glad i’m not the only one crying… she is the winner for me, she is a true artist."
"Such an amazing performance. The choreography matches the music, but that's not all, she tells us this whole story through the choreography. Nowadays, most programs are about going from one side of the rink to the other only to get the jumps done and the choreography barely matches the music. This is truly art."
It is 2021 and I still can't hold my tears when I watch her olimpic program!
"Listen, I hadn’t watched this for a while and it is now more obvious how much she’s improved from this. I’m so proud of her!"
"Прошло ровно 4 года,а этот прокат всё ещё разбивает мне сердце"
its like a whole movie the way she just told a story with her performance. wow
"Сейчас как раз читаю Анну Каренину, сложно представить, что кто-то сможет передать эти эмоции лучше. Точное попадание. Особенно часть, где она изображает танец на балу, на лице такая влюблённость и счастье, мурашки.. 🥺"
"She embodied Anna Karenina so well. A part of me wishes the judges read the book and then judge her once again, as the PCS would have definitely been higher."
Zhenya still makes me cry 4 years later. The greatest artist on the ice...
One of the most iconic performances in Figure skating history. She’s just so amazing
Evgenia is something special in figure skating. She went deep into the souls of people and touched it. I still cant forget her tears. She deserves all the best in  her life and sport career!
"И всё равно, никто не может катать более артистично чем она. Это не просто прокат, это целая история, после которой тебя охватывает такая буря эмоций. Очень сильно люблю Женю"
"Both Zhenya SP and FP are so beautiful. Silver is great, for sure, but I still cannot believe that she didn't leave with a gold medal for her performance"
"!LEGENDARY!
That was the day Evgenia stole my heart,and she still haven’t given it back,agains all odds!"
i still don't see why she wasn't the winner. everything about her captured your attention. the fluidity. the technique. it's beautiful to watch. she's not just jumping. she's telling a story and it's sad that people don't see that
Evgenia is the reason why I discovered the figure skating world. She's so beautiful especially when she skates
the day after tomorrow will be five years. I'm still here and she is still the Olympic champion of my heart.
"Thank you. This performance is extraordinary, captivating, sentimental. Evgenia Medvedeva at her best. Just look at the delicacy of her lines, the power of her interpretation, the intricacy of her skating skills. An explosion of drama and passion. Amazing."
I'm here in 2021 and her performance still moves me to tears...so captivating...so much passion!👏🏼💐
"""Женя,давай,за Родину!""Господи,какая же она чудесная.С проката прошло уже 4 года,но я не перестану восхищатся Женей."
We need to give the judges glasses. There is no other way to describe the fact that they put her in second place. Evgenia legend of figure skating
It's heartbreaking to me that this performance didn't win the gold at the Olympics . This performance is pure art on ice. Too bad they value technicity more. Because of Zenya I started to watch figure skating
"Sophistication, confidence, brilliant skater. This is Art."
QUEEN of the ice. She deserved olympic gold medal as former world junior champion and 3x world champion. She was born to do it and we have seen that.
"Всё-таки никто из нынешних девочек, как сильно бы я их не любила, не катает с такой самоотдачей, как Женя.
Когда я впервые увидела её, была потрясена тем, насколько она вживается в образ, да при том ещё и выполняет прыжки, вращения, дороги и т.д. И так легко всё делает, будто играючи! Даже забываешь порой, сколько труда вложено в эту красоту, сколько многочасовых тренировок ушло на то, чтобы довести до автоматизма каждый жест, взгляд и поворот головы...
Браво, Женя! Твои программы никогда не забудут"
"The sport is moved fwd by legends, by superstars, the ones who become influencers to the crowd. There are very few such athletes in the fugure skating and Evgenia is one of them.
Most of skaters skate with their brains, Evgenia skates with her entire soul. The warmth, the splendor and her dedication to the skating are just mindblowing. Queen💗"
She's actually the reason why i fell in love with figure skating ❤ 😊
I've never seen such beauty on the ice. She was mesmerizing in this performance. It had everything from technically ability to a genius artistry. I've been watching Figure Skating for 44 years and I never saw anyone like her!!!
"No matter how someone skates now, jumps quads, he will never be able to convey this lightness and emotionality at the box office. Even if you are a hundred times a gymnast, you will never be able to skate as perfectly as Zhenya. It's great"
"I thought I could watch it without tears after almost two years, but it’s impossible. Magnificent Evgenia! I wish her all the best ! ❤️"
"this was the moment I became a figure skating fan. thank you, evgenia!"
"That end still tears me up. I remember crying in the livestream when she skated so well. 

I just love Evgenia so much."
"I just watched Alina's performance, and while it was beautiful like her. I just can not understand how Evgenia did not win here. This was one of the most beautiful, if not the most beautiful performance in figure skating ever."
"Absolutely amazing.  I have seen a lot of skating performances over the years, but this may be my favorite women's competitive performance of all time time.  She gave everything she had in this performance.  There was not a finger out of place.  Absolutely incredible!"
"I'll never forget this moment! Just iconic! I felt so much the first time I saw It and I still do It. Really, i have no words. Thank you so much Zhenya. You are art, this is ART❤️🌹I'm literally crying again"
She's such an amazing performer I can feel that she pours her soul into every single one of her programs
"Сейчас уже идёт другая олимпиада, но всё равно этот прокат у меня навсегда в сердце, Женя всегда будет на первом месте, без слёз смотреть не возможно!!"
"Everything was for good. She had the silver, she had our souls, then she had stimulus to move forward, to improve, to be stronger, healthier, better.
Love her so much, what a spirit!"
"До сих пор пересматриваю этот гениальный прокат, Женя великая фигуристка и интересная личность"
"Today, after 3 years, I recognize that, as much as I appreciated Zagitova, the unforgettable program is Medvedeva's. Masterful."
"Пересматриваю этот прокат в 2022 г. 
Какая же прекрасная Женя!
Благодарю тебя, Женечка, за настоящее искусство!
До слез трогает твой прокат."
This is the only program that made me connect with the skater through the performance. I don't care who won. This will stay legendary forever.
"Evgenia...broke my heart because it was so beautiful :,((( Glad to see her finally back in Rostelecom cup!! Keep fighting Zhenya!"
"what makes all her performances great is that it isnt just plain skating and doing moves. its also facial expressions, smallest details, telling a story. she deserved the gold more than anyone."
True artist on ice. Thank you Evgenia for this unforgettable and legendary olympic performance!
"So here I am again, watching & crying, like she did in the end. She knew that this was the best performance of her life & in some way she knew that she wouldn’t win, although she skated a 1st place performance. They changed the rules, but it was too late for her.... But she has our hearts & that’s more than Olympic gold..... ❤️❤️❤️❤️❤️"
That performance was stunning and she’s even better now❤️ I still think her best performance is yet to come 🙏
